study,subject_id,session_name,time_bin_start_s,leverpress_count_5s
1a,XIN2R,cue_test,5.0,1
1a,XIN2R,cue_test,155.0,1
1a,XIN2R,cue_test,305.0,1
1a,XIN2R,cue_test,360.0,1
1a,XIN2R,cue_test,505.0,1
1a,XIN2R,cue_test,540.0,1
1a,XIN2R,generalization_5k,5.0,1
1a,XIN2R,generalization_5k,70.0,1
1a,XIN2R,generalization_5k,120.0,1
1a,XIN2R,generalization_5k,130.0,1
1a,XIN2R,generalization_5k,240.0,1
1a,XIN2R,generalization_5k,345.0,1
1a,XIN2R,generalization_5k,445.0,1
1a,XIN2R,generalization_5k,465.0,1
1a,XIN2R,generalization_7k,5.0,1
1a,XIN2R,generalization_7k,150.0,1
1a,XIN2R,generalization_7k,265.0,1
1a,XIN2R,generalization_7k,425.0,1
1a,XIN2R,learning,5.0,1
1a,XIN2R,learning,125.0,1
1a,XIN2R,learning,230.0,1
1a,XIN2R,learning,325.0,1
1a,XIN2R,learning,410.0,1
1a,XIN2R,learning,460.0,1
1a,XIN2R,learning,580.0,1
1a,XIN2R,learning,665.0,1
1a,XIN2R,learning,770.0,1
1a,XIN2R,learning,865.0,1
1a,XIN2R,learning,975.0,1
1a,XIN2R,learning,1095.0,1
1a,XIN2R,learning,1135.0,1
1a,XIN2R,retest_cue,5.0,1
1a,XIN2R,retest_cue,60.0,1
1a,XIN2R,retest_cue,105.0,1
1a,XIN2R,retest_cue,115.0,1
1a,XIN2R,retest_cue,175.0,1
1a,XIN2R,retest_cue,275.0,1
1a,XIN2R,retest_cue,385.0,1
1a,XIN2R,retest_cue,455.0,1
1a,XIN3B,contextual_test,5.0,1
1a,XIN3B,contextual_test,130.0,1
1a,XIN3B,cue_test,5.0,1
1a,XIN3B,cue_test,250.0,1
1a,XIN3B,cue_test,315.0,1
1a,XIN3B,cue_test,410.0,1
1a,XIN3B,cue_test,555.0,1
1a,XIN3B,generalization_5k,5.0,1
1a,XIN3B,generalization_5k,205.0,1
1a,XIN3B,generalization_5k,320.0,1
1a,XIN3B,generalization_7k,5.0,1
1a,XIN3B,generalization_7k,225.0,1
1a,XIN3B,generalization_7k,420.0,1
1a,XIN3B,generalization_7k,435.0,1
1a,XIN3B,learning,5.0,1
1a,XIN3B,learning,140.0,1
1a,XIN3B,learning,190.0,1
1a,XIN3B,learning,200.0,1
1a,XIN3B,learning,220.0,1
1a,XIN3B,learning,315.0,1
1a,XIN3B,learning,410.0,1
1a,XIN3B,learning,540.0,1
1a,XIN3B,learning,670.0,1
1a,XIN3B,learning,770.0,1
1a,XIN3B,learning,880.0,1
1a,XIN3B,learning,990.0,1
1a,XIN3B,learning,1015.0,1
1a,XIN3B,learning,1195.0,1
1a,XIN3B,retest_cue,5.0,1
1a,XIN3B,retest_cue,225.0,1
1a,XIN3B,retest_cue,350.0,1
1a,XIN3B,retest_cue,405.0,1
1a,XIN3B,retest_cue,515.0,1
1a,XIN3G,contextual_test,5.0,1
1a,XIN3G,contextual_test,140.0,1
1a,XIN3G,cue_test,5.0,1
1a,XIN3G,cue_test,60.0,1
1a,XIN3G,cue_test,80.0,1
1a,XIN3G,cue_test,125.0,1
1a,XIN3G,cue_test,210.0,1
1a,XIN3G,cue_test,330.0,1
1a,XIN3G,cue_test,395.0,1
1a,XIN3G,cue_test,445.0,1
1a,XIN3G,cue_test,545.0,1
1a,XIN3G,generalization_5k,5.0,1
1a,XIN3G,generalization_5k,120.0,1
1a,XIN3G,generalization_5k,180.0,1
1a,XIN3G,generalization_5k,190.0,1
1a,XIN3G,generalization_5k,245.0,1
1a,XIN3G,generalization_5k,350.0,1
1a,XIN3G,generalization_5k,425.0,1
1a,XIN3G,generalization_5k,540.0,1
1a,XIN3G,generalization_7k,5.0,1
1a,XIN3G,generalization_7k,10.0,1
1a,XIN3G,generalization_7k,25.0,1
1a,XIN3G,generalization_7k,110.0,1
1a,XIN3G,generalization_7k,200.0,1
1a,XIN3G,generalization_7k,350.0,1
1a,XIN3G,generalization_7k,455.0,1
1a,XIN3G,generalization_7k,540.0,1
1a,XIN3G,learning,5.0,1
1a,XIN3G,learning,105.0,1
1a,XIN3G,learning,285.0,1
1a,XIN3G,learning,365.0,1
1a,XIN3G,learning,395.0,1
1a,XIN3G,learning,480.0,1
1a,XIN3G,learning,585.0,1
1a,XIN3G,learning,765.0,1
1a,XIN3G,learning,895.0,1
1a,XIN3G,learning,1025.0,1
1a,XIN3G,learning,1145.0,1
1a,XIN3G,retest_cue,5.0,1
1a,XIN3G,retest_cue,10.0,1
1a,XIN3G,retest_cue,155.0,1
1a,XIN3G,retest_cue,265.0,1
1a,XIN3G,retest_cue,300.0,1
1a,XIN3G,retest_cue,330.0,1
1a,XIN3G,retest_cue,400.0,1
1a,XIN3G,retest_cue,555.0,1
1a,XIN3R,contextual_test,5.0,1
1a,XIN3R,contextual_test,120.0,1
1a,XIN3R,contextual_test,170.0,1
1a,XIN3R,cue_test,5.0,1
1a,XIN3R,cue_test,175.0,1
1a,XIN3R,cue_test,275.0,1
1a,XIN3R,cue_test,445.0,1
1a,XIN3R,generalization_5k,5.0,1
1a,XIN3R,generalization_5k,180.0,1
1a,XIN3R,generalization_5k,275.0,1
1a,XIN3R,generalization_5k,385.0,1
1a,XIN3R,generalization_5k,485.0,1
1a,XIN3R,generalization_5k,535.0,1
1a,XIN3R,generalization_5k,550.0,1
1a,XIN3R,generalization_7k,5.0,1
1a,XIN3R,generalization_7k,85.0,1
1a,XIN3R,generalization_7k,200.0,1
1a,XIN3R,generalization_7k,240.0,1
1a,XIN3R,generalization_7k,380.0,1
1a,XIN3R,generalization_7k,465.0,1
1a,XIN3R,learning,5.0,1
1a,XIN3R,learning,125.0,1
1a,XIN3R,learning,310.0,1
1a,XIN3R,learning,415.0,1
1a,XIN3R,learning,460.0,1
1a,XIN3R,learning,590.0,1
1a,XIN3R,learning,740.0,1
1a,XIN3R,learning,830.0,1
1a,XIN3R,learning,840.0,1
1a,XIN3R,learning,905.0,1
1a,XIN3R,learning,1085.0,1
1a,XIN3R,retest_cue,5.0,1
1a,XIN3R,retest_cue,115.0,1
1a,XIN3R,retest_cue,210.0,1
1a,XIN3R,retest_cue,305.0,1
1a,XIN3R,retest_cue,430.0,1
1a,XIN4B,contextual_test,5.0,1
1a,XIN4B,contextual_test,125.0,1
1a,XIN4B,contextual_test,150.0,1
1a,XIN4B,contextual_test,165.0,1
1a,XIN4B,cue_test,5.0,1
1a,XIN4B,cue_test,150.0,1
1a,XIN4B,cue_test,175.0,1
1a,XIN4B,cue_test,225.0,1
1a,XIN4B,cue_test,305.0,1
1a,XIN4B,cue_test,465.0,1
1a,XIN4B,cue_test,530.0,1
1a,XIN4B,generalization_5k,5.0,1
1a,XIN4B,generalization_5k,155.0,1
1a,XIN4B,generalization_5k,160.0,1
1a,XIN4B,generalization_5k,245.0,1
1a,XIN4B,generalization_5k,285.0,1
1a,XIN4B,generalization_5k,420.0,1
1a,XIN4B,generalization_5k,525.0,1
1a,XIN4B,generalization_7k,5.0,1
1a,XIN4B,generalization_7k,115.0,1
1a,XIN4B,generalization_7k,220.0,1
1a,XIN4B,generalization_7k,390.0,1
1a,XIN4B,generalization_7k,450.0,1
1a,XIN4B,generalization_7k,555.0,1
1a,XIN4B,learning,5.0,1
1a,XIN4B,learning,65.0,1
1a,XIN4B,learning,160.0,1
1a,XIN4B,learning,245.0,1
1a,XIN4B,learning,285.0,1
1a,XIN4B,learning,360.0,1
1a,XIN4B,learning,500.0,1
1a,XIN4B,learning,545.0,1
1a,XIN4B,learning,610.0,1
1a,XIN4B,learning,765.0,1
1a,XIN4B,learning,860.0,1
1a,XIN4B,learning,945.0,1
1a,XIN4B,retest_cue,5.0,1
1a,XIN4B,retest_cue,125.0,1
1a,XIN4B,retest_cue,190.0,1
1a,XIN4B,retest_cue,285.0,1
1a,XIN4B,retest_cue,435.0,1
1a,XIN4G,contextual_test,5.0,1
1a,XIN4G,contextual_test,125.0,1
1a,XIN4G,cue_test,5.0,1
1a,XIN4G,cue_test,180.0,1
1a,XIN4G,cue_test,465.0,1
1a,XIN4G,generalization_5k,5.0,1
1a,XIN4G,generalization_5k,125.0,1
1a,XIN4G,generalization_5k,240.0,1
1a,XIN4G,generalization_5k,425.0,1
1a,XIN4G,generalization_5k,535.0,1
1a,XIN4G,generalization_7k,5.0,1
1a,XIN4G,generalization_7k,140.0,1
1a,XIN4G,generalization_7k,260.0,1
1a,XIN4G,learning,5.0,1
1a,XIN4G,learning,65.0,1
1a,XIN4G,learning,160.0,1
1a,XIN4G,learning,280.0,1
1a,XIN4G,learning,425.0,1
1a,XIN4G,learning,455.0,1
1a,XIN4G,learning,545.0,1
1a,XIN4G,learning,585.0,1
1a,XIN4G,learning,655.0,1
1a,XIN4G,learning,800.0,1
1a,XIN4G,retest_cue,5.0,1
1a,XIN4G,retest_cue,100.0,1
1a,XIN4G,retest_cue,210.0,1
1a,XIN4G,retest_cue,380.0,1
1a,XIN4G,retest_cue,495.0,1
1a,XIN4R,contextual_test,5.0,1
1a,XIN4R,cue_test,5.0,1
1a,XIN4R,cue_test,295.0,1
1a,XIN4R,cue_test,335.0,1
1a,XIN4R,generalization_5k,5.0,1
1a,XIN4R,generalization_7k,5.0,1
1a,XIN4R,learning,0.0,1
1a,XIN4R,learning,135.0,1
1a,XIN4R,learning,185.0,1
1a,XIN4R,learning,285.0,1
1a,XIN4R,learning,295.0,1
1a,XIN4R,learning,425.0,1
1a,XIN4R,learning,655.0,1
1a,XIN4R,retest_cue,5.0,1
1a,XIN4R,retest_cue,95.0,1
1b,XIN1B,pretest_contextual,5.0,1
1b,XIN1B,pretest_contextual,60.0,1
1b,XIN1B,pretest_cue,5.0,1
1b,XIN1B,retest_contextual,0.0,1
1b,XIN1B,retest_cue,5.0,1
1b,XIN1B,retest_cue,275.0,1
1b,XIN1B,retest_lever_baseline,10.0,1
1b,XIN1B,retest_lever_baseline,20.0,1
1b,XIN1B,retest_lever_baseline,30.0,1
1b,XIN1B,retest_lever_baseline,35.0,1
1b,XIN1B,retest_lever_baseline,120.0,1
1b,XIN1B,retest_lever_baseline,220.0,1
1b,XIN1B,retest_lever_baseline,380.0,1
1b,XIN1B,retest_lever_baseline,520.0,1
1b,XIN1B,retest_lever_baseline,595.0,1
1b,XIN1B,retest_lever_baseline,675.0,1
1b,XIN1B,retest_lever_baseline,765.0,1
1b,XIN1B,retest_lever_baseline,935.0,1
1b,XIN1B,retest_lever_baseline,1100.0,1
1b,XIN1B,retest_lever_baseline,1225.0,1
1b,XIN1B,retest_lever_baseline,1360.0,1
1b,XIN1B,retest_lever_baseline,1540.0,1
1b,XIN1B,retest_lever_baseline,1720.0,1
1b,XIN1B,retest_lever_baseline,1835.0,1
1b,XIN1B,retest_lever_baseline,1985.0,1
1b,XIN1B,retest_lever_baseline,2215.0,1
1b,XIN1B,retest_lever_baseline,2345.0,1
1b,XIN1B,retest_lever_baseline,2435.0,1
1b,XIN1B,retest_lever_baseline,2495.0,1
1b,XIN1B,retest_lever_baseline,2570.0,1
1b,XIN1B,retest_lever_baseline,2620.0,1
1b,XIN1B,retest_lever_baseline,2790.0,1
1b,XIN1B,retest_lever_baseline,2920.0,1
1b,XIN1B,retest_lever_baseline,2985.0,1
1b,XIN1B,retest_lever_baseline,3130.0,1
1b,XIN1B,retest_lever_baseline,3250.0,1
1b,XIN1B,retest_lever_baseline,3310.0,1
1b,XIN1B,retest_lever_baseline,3455.0,1
1b,XIN1B,retest_lever_baseline,3510.0,1
1b,XIN1G,pretest_contextual,5.0,1
1b,XIN1G,pretest_contextual,20.0,1
1b,XIN1G,pretest_contextual,30.0,1
1b,XIN1G,pretest_contextual,50.0,1
1b,XIN1G,pretest_contextual,140.0,1
1b,XIN1G,pretest_contextual,145.0,1
1b,XIN1G,retest_contextual,0.0,1
1b,XIN1G,retest_contextual,125.0,1
1b,XIN1G,retest_cue,20.0,1
1b,XIN1G,retest_cue,50.0,1
1b,XIN1G,retest_cue,65.0,1
1b,XIN1G,retest_cue,90.0,1
1b,XIN1G,retest_cue,240.0,1
1b,XIN1G,retest_cue,340.0,1
1b,XIN1G,retest_cue,390.0,1
1b,XIN1G,retest_lever_baseline,10.0,1
1b,XIN1G,retest_lever_baseline,90.0,1
1b,XIN1G,retest_lever_baseline,100.0,1
1b,XIN1G,retest_lever_baseline,205.0,1
1b,XIN1G,retest_lever_baseline,310.0,1
1b,XIN1G,retest_lever_baseline,375.0,1
1b,XIN1G,retest_lever_baseline,390.0,1
1b,XIN1G,retest_lever_baseline,470.0,1
1b,XIN1G,retest_lever_baseline,570.0,1
1b,XIN1G,retest_lever_baseline,650.0,1
1b,XIN1G,retest_lever_baseline,755.0,1
1b,XIN1G,retest_lever_baseline,915.0,1
1b,XIN1G,retest_lever_baseline,1050.0,1
1b,XIN1G,retest_lever_baseline,1185.0,1
1b,XIN1G,retest_lever_baseline,1240.0,1
1b,XIN1G,retest_lever_baseline,1335.0,1
1b,XIN1G,retest_lever_baseline,1460.0,1
1b,XIN1G,retest_lever_baseline,1510.0,1
1b,XIN1G,retest_lever_baseline,1630.0,1
1b,XIN1G,retest_lever_baseline,1720.0,1
1b,XIN1G,retest_lever_baseline,1750.0,1
1b,XIN1G,retest_lever_baseline,1875.0,1
1b,XIN1G,retest_lever_baseline,1985.0,1
1b,XIN1G,retest_lever_baseline,2100.0,1
1b,XIN1G,retest_lever_baseline,2230.0,1
1b,XIN1G,retest_lever_baseline,2340.0,1
1b,XIN1G,retest_lever_baseline,2410.0,1
1b,XIN1G,retest_lever_baseline,2500.0,1
1b,XIN1G,retest_lever_baseline,2620.0,1
1b,XIN1G,retest_lever_baseline,2785.0,1
1b,XIN1G,retest_lever_baseline,2980.0,1
1b,XIN1G,retest_lever_baseline,3065.0,1
1b,XIN1G,retest_lever_baseline,3095.0,1
1b,XIN1G,retest_lever_baseline,3150.0,1
1b,XIN1G,retest_lever_baseline,3290.0,1
1b,XIN1G,retest_lever_baseline,3380.0,1
1b,XIN1G,retest_lever_baseline,3505.0,1
1b,XIN1R,pretest_contextual,5.0,1
1b,XIN1R,pretest_cue,5.0,1
1b,XIN1R,pretest_cue,270.0,1
1b,XIN1R,retest_contextual,0.0,1
1b,XIN1R,retest_cue,20.0,1
1b,XIN1R,retest_lever_baseline,10.0,1
1b,XIN1R,retest_lever_baseline,160.0,1
1b,XIN1R,retest_lever_baseline,245.0,1
1b,XIN1R,retest_lever_baseline,260.0,1
1b,XIN1R,retest_lever_baseline,385.0,1
1b,XIN1R,retest_lever_baseline,450.0,1
1b,XIN1R,retest_lever_baseline,485.0,1
1b,XIN1R,retest_lever_baseline,555.0,1
1b,XIN1R,retest_lever_baseline,640.0,1
1b,XIN1R,retest_lever_baseline,745.0,1
1b,XIN1R,retest_lever_baseline,910.0,1
1b,XIN1R,retest_lever_baseline,1010.0,1
1b,XIN1R,retest_lever_baseline,1225.0,1
1b,XIN1R,retest_lever_baseline,1895.0,1
1b,XIN1R,retest_lever_baseline,2270.0,1
1b,XIN1R,retest_lever_baseline,2795.0,1
1b,XIN1R,retest_lever_baseline,3065.0,1
1b,XIN1R,retest_lever_baseline,3210.0,1
1b,XIN1R,retest_lever_baseline,3370.0,1
1b,XIN1R,retest_lever_baseline,3520.0,1
1b,XIN2B,pretest_contextual,5.0,1
1b,XIN2B,pretest_cue,5.0,1
1b,XIN2B,pretest_cue,245.0,1
1b,XIN2B,pretest_cue,255.0,1
1b,XIN2B,pretest_cue,355.0,1
1b,XIN2B,pretest_cue,460.0,1
1b,XIN2B,retest_contextual,0.0,1
1b,XIN2B,retest_cue,5.0,1
1b,XIN2B,retest_lever_baseline,10.0,1
1b,XIN2B,retest_lever_baseline,55.0,1
1b,XIN2B,retest_lever_baseline,155.0,1
1b,XIN2B,retest_lever_baseline,315.0,1
1b,XIN2B,retest_lever_baseline,560.0,1
1b,XIN2B,retest_lever_baseline,890.0,1
1b,XIN2B,retest_lever_baseline,1065.0,1
1b,XIN2B,retest_lever_baseline,2210.0,1
1b,XIN2B,retest_lever_baseline,2370.0,1
1b,XIN2B,retest_lever_baseline,3395.0,1
1b,XIN2B,retest_lever_baseline,3480.0,1
1b,XIN2G,pretest_contextual,5.0,1
1b,XIN2G,pretest_cue,5.0,1
1b,XIN2G,pretest_cue,215.0,1
1b,XIN2G,retest_contextual,15.0,1
1b,XIN2G,retest_cue,0.0,1
1b,XIN2G,retest_cue,270.0,1
1b,XIN2G,retest_cue,300.0,1
1b,XIN2G,retest_cue,410.0,1
1b,XIN2G,retest_lever_baseline,10.0,1
1b,XIN2G,retest_lever_baseline,205.0,1
1b,XIN2G,retest_lever_baseline,365.0,1
1b,XIN2G,retest_lever_baseline,475.0,1
1b,XIN2G,retest_lever_baseline,645.0,1
1b,XIN2G,retest_lever_baseline,795.0,1
1b,XIN2G,retest_lever_baseline,975.0,1
1b,XIN2G,retest_lever_baseline,1085.0,1
1b,XIN2G,retest_lever_baseline,1135.0,1
1b,XIN2G,retest_lever_baseline,1280.0,1
1b,XIN2G,retest_lever_baseline,1355.0,1
1b,XIN2G,retest_lever_baseline,1475.0,1
1b,XIN2G,retest_lever_baseline,1625.0,1
1b,XIN2G,retest_lever_baseline,1660.0,1
1b,XIN2G,retest_lever_baseline,1755.0,1
1b,XIN2G,retest_lever_baseline,1890.0,1
1b,XIN2G,retest_lever_baseline,1950.0,1
1b,XIN2G,retest_lever_baseline,2040.0,1
1b,XIN2G,retest_lever_baseline,2130.0,1
1b,XIN2G,retest_lever_baseline,2145.0,1
1b,XIN2G,retest_lever_baseline,2270.0,1
1b,XIN2G,retest_lever_baseline,2310.0,1
1b,XIN2G,retest_lever_baseline,2365.0,1
1b,XIN2G,retest_lever_baseline,2520.0,1
1b,XIN2G,retest_lever_baseline,2670.0,1
1b,XIN2G,retest_lever_baseline,2745.0,1
1b,XIN2G,retest_lever_baseline,2865.0,1
1b,XIN2G,retest_lever_baseline,2935.0,1
1b,XIN2G,retest_lever_baseline,3045.0,1
1b,XIN2G,retest_lever_baseline,3145.0,1
1b,XIN2G,retest_lever_baseline,3275.0,1
1b,XIN2G,retest_lever_baseline,3385.0,1
1b,XIN2G,retest_lever_baseline,3510.0,1
1b,XIN2R,pretest_contextual,5.0,1
1b,XIN2R,pretest_contextual,130.0,1
1b,XIN2R,pretest_cue,5.0,1
1b,XIN2R,pretest_cue,155.0,1
1b,XIN2R,pretest_cue,305.0,1
1b,XIN2R,pretest_cue,360.0,1
1b,XIN2R,pretest_cue,505.0,1
1b,XIN2R,pretest_cue,540.0,1
1b,XIN2R,retest_contextual,15.0,1
1b,XIN2R,retest_cue,0.0,1
1b,XIN2R,retest_cue,80.0,1
1b,XIN2R,retest_cue,180.0,1
1b,XIN2R,retest_cue,330.0,1
1b,XIN2R,retest_cue,355.0,1
1b,XIN2R,retest_lever_baseline,10.0,1
1b,XIN2R,retest_lever_baseline,40.0,1
1b,XIN2R,retest_lever_baseline,140.0,1
1b,XIN2R,retest_lever_baseline,155.0,1
1b,XIN2R,retest_lever_baseline,260.0,1
1b,XIN2R,retest_lever_baseline,295.0,1
1b,XIN2R,retest_lever_baseline,455.0,1
1b,XIN2R,retest_lever_baseline,570.0,1
1b,XIN2R,retest_lever_baseline,720.0,1
1b,XIN2R,retest_lever_baseline,935.0,1
1b,XIN2R,retest_lever_baseline,1195.0,1
1b,XIN2R,retest_lever_baseline,1285.0,1
1b,XIN2R,retest_lever_baseline,1380.0,1
1b,XIN2R,retest_lever_baseline,1490.0,1
1b,XIN2R,retest_lever_baseline,1625.0,1
1b,XIN2R,retest_lever_baseline,1755.0,1
1b,XIN2R,retest_lever_baseline,1830.0,1
1b,XIN2R,retest_lever_baseline,1860.0,1
1b,XIN2R,retest_lever_baseline,1970.0,1
1b,XIN2R,retest_lever_baseline,2035.0,1
1b,XIN2R,retest_lever_baseline,2190.0,1
1b,XIN2R,retest_lever_baseline,2300.0,1
1b,XIN2R,retest_lever_baseline,2465.0,1
1b,XIN2R,retest_lever_baseline,2645.0,1
1b,XIN2R,retest_lever_baseline,2690.0,1
1b,XIN2R,retest_lever_baseline,2790.0,1
1b,XIN2R,retest_lever_baseline,2815.0,1
1b,XIN2R,retest_lever_baseline,2845.0,1
1b,XIN2R,retest_lever_baseline,2950.0,1
1b,XIN2R,retest_lever_baseline,2975.0,1
1b,XIN2R,retest_lever_baseline,3020.0,1
1b,XIN2R,retest_lever_baseline,3130.0,1
1b,XIN2R,retest_lever_baseline,3250.0,1
1b,XIN2R,retest_lever_baseline,3425.0,1
1b,XIN2R,retest_lever_baseline,3480.0,1
1b,XIN2R,retest_lever_baseline,3555.0,1
1b,XIN3B,pretest_contextual,5.0,1
1b,XIN3B,pretest_contextual,130.0,1
1b,XIN3B,pretest_cue,5.0,1
1b,XIN3B,pretest_cue,250.0,1
1b,XIN3B,pretest_cue,315.0,1
1b,XIN3B,pretest_cue,410.0,1
1b,XIN3B,pretest_cue,555.0,1
1b,XIN3B,retest_contextual,20.0,1
1b,XIN3B,retest_cue,0.0,1
1b,XIN3B,retest_cue,140.0,1
1b,XIN3B,retest_cue,305.0,1
1b,XIN3B,retest_cue,470.0,1
1b,XIN3B,retest_lever_baseline,10.0,1
1b,XIN3B,retest_lever_baseline,110.0,1
1b,XIN3B,retest_lever_baseline,130.0,1
1b,XIN3B,retest_lever_baseline,235.0,1
1b,XIN3B,retest_lever_baseline,335.0,1
1b,XIN3B,retest_lever_baseline,445.0,1
1b,XIN3B,retest_lever_baseline,565.0,1
1b,XIN3B,retest_lever_baseline,675.0,1
1b,XIN3B,retest_lever_baseline,815.0,1
1b,XIN3B,retest_lever_baseline,965.0,1
1b,XIN3B,retest_lever_baseline,1115.0,1
1b,XIN3B,retest_lever_baseline,1370.0,1
1b,XIN3B,retest_lever_baseline,1515.0,1
1b,XIN3B,retest_lever_baseline,1580.0,1
1b,XIN3B,retest_lever_baseline,1735.0,1
1b,XIN3B,retest_lever_baseline,1775.0,1
1b,XIN3B,retest_lever_baseline,1780.0,1
1b,XIN3B,retest_lever_baseline,1915.0,1
1b,XIN3B,retest_lever_baseline,2050.0,1
1b,XIN3B,retest_lever_baseline,2130.0,1
1b,XIN3B,retest_lever_baseline,2240.0,1
1b,XIN3B,retest_lever_baseline,2400.0,1
1b,XIN3B,retest_lever_baseline,2500.0,1
1b,XIN3B,retest_lever_baseline,2725.0,1
1b,XIN3B,retest_lever_baseline,2810.0,1
1b,XIN3B,retest_lever_baseline,2925.0,1
1b,XIN3B,retest_lever_baseline,3055.0,1
1b,XIN3B,retest_lever_baseline,3200.0,1
1b,XIN3B,retest_lever_baseline,3355.0,1
1b,XIN3B,retest_lever_baseline,3510.0,1
1b,XIN3G,pretest_contextual,5.0,1
1b,XIN3G,pretest_contextual,140.0,1
1b,XIN3G,pretest_cue,5.0,1
1b,XIN3G,pretest_cue,60.0,1
1b,XIN3G,pretest_cue,80.0,1
1b,XIN3G,pretest_cue,125.0,1
1b,XIN3G,pretest_cue,210.0,1
1b,XIN3G,pretest_cue,330.0,1
1b,XIN3G,pretest_cue,395.0,1
1b,XIN3G,pretest_cue,445.0,1
1b,XIN3G,pretest_cue,545.0,1
1b,XIN3G,retest_contextual,20.0,1
1b,XIN3G,retest_contextual,170.0,1
1b,XIN3G,retest_cue,0.0,1
1b,XIN3G,retest_cue,175.0,1
1b,XIN3G,retest_cue,245.0,1
1b,XIN3G,retest_cue,450.0,1
1b,XIN3G,retest_lever_baseline,10.0,1
1b,XIN3G,retest_lever_baseline,120.0,1
1b,XIN3G,retest_lever_baseline,225.0,1
1b,XIN3G,retest_lever_baseline,340.0,1
1b,XIN3G,retest_lever_baseline,420.0,1
1b,XIN3G,retest_lever_baseline,590.0,1
1b,XIN3G,retest_lever_baseline,690.0,1
1b,XIN3G,retest_lever_baseline,770.0,1
1b,XIN3G,retest_lever_baseline,930.0,1
1b,XIN3G,retest_lever_baseline,1080.0,1
1b,XIN3G,retest_lever_baseline,1220.0,1
1b,XIN3G,retest_lever_baseline,1345.0,1
1b,XIN3G,retest_lever_baseline,1430.0,1
1b,XIN3G,retest_lever_baseline,1505.0,1
1b,XIN3G,retest_lever_baseline,1550.0,1
1b,XIN3G,retest_lever_baseline,1645.0,1
1b,XIN3G,retest_lever_baseline,1745.0,1
1b,XIN3G,retest_lever_baseline,1785.0,1
1b,XIN3G,retest_lever_baseline,1860.0,1
1b,XIN3G,retest_lever_baseline,1990.0,1
1b,XIN3G,retest_lever_baseline,2135.0,1
1b,XIN3G,retest_lever_baseline,2205.0,1
1b,XIN3G,retest_lever_baseline,2345.0,1
1b,XIN3G,retest_lever_baseline,2405.0,1
1b,XIN3G,retest_lever_baseline,2460.0,1
1b,XIN3G,retest_lever_baseline,2550.0,1
1b,XIN3G,retest_lever_baseline,2690.0,1
1b,XIN3G,retest_lever_baseline,2815.0,1
1b,XIN3G,retest_lever_baseline,2870.0,1
1b,XIN3G,retest_lever_baseline,2965.0,1
1b,XIN3G,retest_lever_baseline,3020.0,1
1b,XIN3G,retest_lever_baseline,3170.0,1
1b,XIN3G,retest_lever_baseline,3280.0,1
1b,XIN3G,retest_lever_baseline,3405.0,1
1b,XIN3G,retest_lever_baseline,3500.0,1
1b,XIN3R,pretest_contextual,5.0,1
1b,XIN3R,pretest_contextual,120.0,1
1b,XIN3R,pretest_contextual,170.0,1
1b,XIN3R,pretest_cue,5.0,1
1b,XIN3R,pretest_cue,175.0,1
1b,XIN3R,pretest_cue,275.0,1
1b,XIN3R,pretest_cue,445.0,1
