study,subject_id,session_name,boli_count_session,source_filepath,source_sheet
2,EXT3R,LTM1,6.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,EXT3G,LTM1,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,EXT3B,LTM1,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,NOEXT2G,LTM1,1.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,NOEXT2B,LTM1,8.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,NOEXT3R,LTM1,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,NOEXT3G,LTM1,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,NOEXT3B,LTM1,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,EXT1R,LTM1,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,EXT1G,LTM1,8.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,EXT1B,LTM1,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,NOEXT1R,LTM1,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,NOEXT1G,LTM1,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,NOEXT1B,LTM1,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,LTM
2,EXT2R,renewal,3.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT2G,renewal,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT2B,renewal,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT3R,renewal,10.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT3G,renewal,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT3B,renewal,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,NOEXT2G,renewal,1.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,NOEXT2B,renewal,8.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,NOEXT3R,renewal,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,NOEXT3G,renewal,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,NOEXT3B,renewal,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT1R,renewal,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT1G,renewal,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT1B,renewal,1.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,NOEXT1R,renewal,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,NOEXT1G,renewal,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,NOEXT1B,renewal,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,renewal
2,EXT2R,extinction2,3.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT2G,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT2B,extinction2,3.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT3R,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT3G,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT3B,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,NOEXT2G,extinction2,6.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,NOEXT2B,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,NOEXT3R,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,NOEXT3G,extinction2,8.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,NOEXT3B,extinction2,10.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT1R,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT1G,extinction2,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT1B,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,NOEXT1R,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,NOEXT1G,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,NOEXT1B,extinction2,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction2
2,EXT2R,extinction3,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT2G,extinction3,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT2B,extinction3,7.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT3R,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT3G,extinction3,4.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT3B,extinction3,2.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,NOEXT2G,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,NOEXT2B,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,NOEXT3R,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,NOEXT3G,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,NOEXT3B,extinction3,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT1R,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT1G,extinction3,9.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT1B,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,NOEXT1R,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,NOEXT1G,extinction3,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,NOEXT1B,extinction3,5.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction3
2,EXT2R,extinction4,3.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,EXT2G,extinction4,2.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,EXT2B,extinction4,3.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
2,EXT3R,extinction4,0.0,研究2/data analysis and graph/[1-3]boli_研究2.xlsx,extinction4
