study,subject_id,session_name,time_bin_start_s,usv22_call_count_5s,usv50_call_count_5s
1b,XIN2R,pretest_contextual,160.0,0,2
1b,XIN2R,pretest_contextual,165.0,0,6
1b,XIN2R,pretest_contextual,170.0,0,3
1b,XIN2R,pretest_contextual,175.0,0,2
1b,XIN2R,pretest_contextual,180.0,0,3
1b,XIN2R,pretest_cue,0.0,0,5
1b,XIN2R,pretest_cue,5.0,0,5
1b,XIN2R,pretest_cue,10.0,0,3
1b,XIN2R,pretest_cue,15.0,0,2
1b,XIN2R,pretest_cue,20.0,0,6
1b,XIN2R,pretest_cue,25.0,0,6
1b,XIN2R,pretest_cue,30.0,0,3
1b,XIN2R,pretest_cue,35.0,0,1
1b,XIN2R,pretest_cue,40.0,0,2
1b,XIN2R,pretest_cue,45.0,0,5
1b,XIN2R,pretest_cue,50.0,0,3
1b,XIN2R,pretest_cue,55.0,0,3
1b,XIN2R,pretest_cue,60.0,0,6
1b,XIN2R,pretest_cue,65.0,0,3
1b,XIN2R,pretest_cue,70.0,0,4
1b,XIN2R,pretest_cue,75.0,0,2
1b,XIN2R,pretest_cue,80.0,0,3
1b,XIN2R,pretest_cue,85.0,0,5
1b,XIN2R,pretest_cue,90.0,0,1
1b,XIN2R,pretest_cue,95.0,0,4
1b,XIN2R,pretest_cue,100.0,0,3
1b,XIN2R,pretest_cue,105.0,0,3
1b,XIN2R,pretest_cue,110.0,0,2
1b,XIN2R,pretest_cue,115.0,0,1
1b,XIN2R,pretest_cue,120.0,0,4
1b,XIN2R,pretest_cue,125.0,0,6
1b,XIN2R,pretest_cue,130.0,0,2
1b,XIN2R,pretest_cue,135.0,0,1
1b,XIN2R,pretest_cue,155.0,0,1
1b,XIN2R,pretest_cue,170.0,0,2
1b,XIN2R,pretest_cue,205.0,0,1
1b,XIN2R,pretest_cue,515.0,0,1
1b,XIN2R,retest_contextual,0.0,0,2
1b,XIN2R,retest_contextual,5.0,0,1
1b,XIN2R,retest_contextual,10.0,0,2
1b,XIN2R,retest_contextual,15.0,0,5
1b,XIN2R,retest_contextual,20.0,0,2
1b,XIN2R,retest_contextual,35.0,0,3
1b,XIN2R,retest_contextual,40.0,0,3
1b,XIN2R,retest_contextual,45.0,0,8
1b,XIN2R,retest_contextual,50.0,0,10
1b,XIN2R,retest_contextual,55.0,0,8
1b,XIN2R,retest_contextual,60.0,0,4
1b,XIN2R,retest_contextual,65.0,0,8
1b,XIN2R,retest_contextual,70.0,0,5
1b,XIN2R,retest_contextual,75.0,0,7
1b,XIN2R,retest_contextual,80.0,0,5
1b,XIN2R,retest_contextual,85.0,0,1
1b,XIN2R,retest_contextual,90.0,0,4
1b,XIN2R,retest_contextual,95.0,0,3
1b,XIN2R,retest_contextual,100.0,0,3
1b,XIN2R,retest_contextual,105.0,0,5
1b,XIN2R,retest_contextual,110.0,0,10
1b,XIN2R,retest_contextual,115.0,0,6
1b,XIN2R,retest_contextual,120.0,0,9
1b,XIN2R,retest_contextual,125.0,0,2
1b,XIN2R,retest_contextual,130.0,0,8
1b,XIN2R,retest_contextual,135.0,0,5
1b,XIN2R,retest_contextual,140.0,0,9
1b,XIN2R,retest_contextual,145.0,0,10
1b,XIN2R,retest_contextual,150.0,0,3
1b,XIN2R,retest_contextual,155.0,0,3
1b,XIN2R,retest_contextual,160.0,0,6
1b,XIN2R,retest_contextual,165.0,0,4
1b,XIN2R,retest_contextual,170.0,0,2
1b,XIN2R,retest_contextual,175.0,0,3
1b,XIN2R,retest_contextual,180.0,0,3
1b,XIN2R,retest_cue,0.0,0,1
1b,XIN2R,retest_cue,5.0,0,10
1b,XIN2R,retest_cue,10.0,0,7
1b,XIN2R,retest_cue,15.0,0,4
1b,XIN2R,retest_cue,20.0,0,9
1b,XIN2R,retest_cue,25.0,0,16
1b,XIN2R,retest_cue,30.0,0,12
1b,XIN2R,retest_cue,35.0,0,9
1b,XIN2R,retest_cue,40.0,0,7
1b,XIN2R,retest_cue,45.0,0,10
1b,XIN2R,retest_cue,50.0,0,13
1b,XIN2R,retest_cue,55.0,0,14
1b,XIN2R,retest_cue,60.0,0,6
1b,XIN2R,retest_cue,65.0,0,6
1b,XIN2R,retest_cue,70.0,0,8
1b,XIN2R,retest_cue,75.0,0,10
1b,XIN2R,retest_cue,80.0,0,9
1b,XIN2R,retest_cue,85.0,0,10
1b,XIN2R,retest_cue,90.0,0,6
1b,XIN2R,retest_cue,95.0,0,8
1b,XIN2R,retest_cue,100.0,0,5
1b,XIN2R,retest_cue,105.0,0,4
1b,XIN2R,retest_cue,110.0,0,5
1b,XIN2R,retest_cue,115.0,0,6
1b,XIN2R,retest_cue,120.0,0,7
1b,XIN2R,retest_cue,125.0,0,6
1b,XIN2R,retest_cue,130.0,0,6
1b,XIN2R,retest_cue,135.0,0,6
1b,XIN2R,retest_cue,140.0,0,8
1b,XIN2R,retest_cue,145.0,0,13
1b,XIN2R,retest_cue,150.0,0,5
1b,XIN2R,retest_cue,155.0,0,5
1b,XIN2R,retest_cue,160.0,0,4
1b,XIN2R,retest_cue,165.0,0,7
1b,XIN2R,retest_cue,170.0,0,2
1b,XIN2R,retest_cue,175.0,0,5
1b,XIN2R,retest_cue,180.0,0,1
1b,XIN2R,retest_cue,200.0,0,6
1b,XIN2R,retest_cue,205.0,0,7
1b,XIN2R,retest_cue,210.0,0,3
1b,XIN2R,retest_cue,220.0,0,6
1b,XIN2R,retest_cue,225.0,0,6
1b,XIN2R,retest_cue,230.0,0,3
1b,XIN2R,retest_cue,235.0,0,2
1b,XIN2R,retest_cue,240.0,0,5
1b,XIN2R,retest_cue,245.0,0,10
1b,XIN2R,retest_cue,250.0,0,4
1b,XIN2R,retest_cue,255.0,0,3
1b,XIN2R,retest_cue,260.0,0,1
1b,XIN2R,retest_cue,265.0,0,8
1b,XIN2R,retest_cue,270.0,0,5
1b,XIN2R,retest_cue,275.0,0,2
1b,XIN2R,retest_cue,280.0,0,5
1b,XIN2R,retest_cue,285.0,0,5
1b,XIN2R,retest_cue,290.0,0,3
1b,XIN2R,retest_cue,295.0,0,4
1b,XIN2R,retest_cue,300.0,0,2
1b,XIN2R,retest_cue,305.0,0,2
1b,XIN2R,retest_cue,310.0,0,3
1b,XIN2R,retest_cue,315.0,0,4
1b,XIN2R,retest_cue,320.0,0,3
1b,XIN2R,retest_cue,325.0,0,3
1b,XIN2R,retest_cue,330.0,0,7
1b,XIN2R,retest_cue,335.0,0,8
1b,XIN2R,retest_cue,340.0,0,8
1b,XIN2R,retest_cue,345.0,0,4
1b,XIN2R,retest_cue,350.0,0,6
1b,XIN2R,retest_cue,355.0,0,6
1b,XIN2R,retest_cue,360.0,0,5
1b,XIN2R,retest_cue,380.0,0,5
1b,XIN2R,retest_cue,385.0,0,2
1b,XIN2R,retest_cue,390.0,0,2
1b,XIN2R,retest_cue,395.0,0,3
1b,XIN2R,retest_cue,400.0,0,1
1b,XIN2R,retest_cue,405.0,0,3
1b,XIN2R,retest_cue,420.0,0,1
1b,XIN2R,retest_cue,425.0,0,2
1b,XIN2R,retest_cue,430.0,0,5
1b,XIN2R,retest_cue,435.0,0,2
1b,XIN2R,retest_cue,440.0,0,3
1b,XIN2R,retest_cue,445.0,0,2
1b,XIN2R,retest_cue,455.0,0,2
1b,XIN2R,retest_cue,460.0,0,2
1b,XIN2R,retest_cue,465.0,0,3
1b,XIN2R,retest_cue,470.0,0,2
1b,XIN2R,retest_cue,475.0,0,2
1b,XIN2R,retest_cue,490.0,0,1
1b,XIN2R,retest_cue,495.0,0,1
1b,XIN2R,retest_cue,520.0,0,1
1b,XIN2R,retest_cue,525.0,0,1
1b,XIN3B,pretest_contextual,20.0,0,1
1b,XIN3B,pretest_contextual,25.0,0,2
1b,XIN3B,pretest_contextual,45.0,0,1
1b,XIN3B,pretest_contextual,50.0,0,2
1b,XIN3B,pretest_contextual,55.0,0,1
1b,XIN3B,pretest_contextual,60.0,0,2
1b,XIN3B,pretest_contextual,65.0,0,1
1b,XIN3B,pretest_contextual,95.0,0,2
1b,XIN3B,pretest_contextual,100.0,0,1
1b,XIN3B,pretest_cue,40.0,0,1
1b,XIN3B,pretest_cue,115.0,0,7
1b,XIN3B,retest_contextual,10.0,0,3
1b,XIN3B,retest_contextual,15.0,0,5
1b,XIN3B,retest_contextual,20.0,0,1
1b,XIN3B,retest_contextual,25.0,0,5
1b,XIN3B,retest_contextual,30.0,0,7
1b,XIN3B,retest_contextual,35.0,0,2
1b,XIN3B,retest_contextual,45.0,0,4
1b,XIN3B,retest_contextual,50.0,0,3
1b,XIN3B,retest_contextual,55.0,0,2
1b,XIN3B,retest_contextual,60.0,0,2
1b,XIN3B,retest_contextual,65.0,0,4
1b,XIN3B,retest_contextual,70.0,0,1
1b,XIN3B,retest_contextual,85.0,0,1
1b,XIN3B,retest_contextual,90.0,0,2
1b,XIN3B,retest_contextual,95.0,0,1
1b,XIN3B,retest_contextual,100.0,0,1
1b,XIN3B,retest_contextual,105.0,0,1
1b,XIN3B,retest_contextual,115.0,0,4
1b,XIN3B,retest_contextual,120.0,0,4
1b,XIN3B,retest_contextual,125.0,0,1
1b,XIN3B,retest_contextual,130.0,0,1
1b,XIN3B,retest_contextual,135.0,0,2
1b,XIN3B,retest_contextual,140.0,0,4
1b,XIN3B,retest_contextual,145.0,0,3
1b,XIN3B,retest_contextual,150.0,0,1
1b,XIN3B,retest_contextual,165.0,0,1
1b,XIN3B,retest_contextual,170.0,0,2
1b,XIN3B,retest_cue,25.0,0,1
1b,XIN3B,retest_cue,30.0,0,1
1b,XIN3B,retest_cue,45.0,0,1
1b,XIN3B,retest_cue,60.0,0,1
1b,XIN3B,retest_cue,65.0,0,1
1b,XIN3B,retest_cue,85.0,0,1
1b,XIN3B,retest_cue,440.0,0,1
1b,XIN3B,retest_cue,445.0,0,1
1b,XIN3G,pretest_contextual,10.0,0,2
1b,XIN3G,pretest_contextual,15.0,0,4
1b,XIN3G,pretest_contextual,20.0,0,2
1b,XIN3G,pretest_contextual,25.0,0,3
1b,XIN3G,pretest_contextual,30.0,0,1
1b,XIN3G,pretest_contextual,35.0,0,1
1b,XIN3G,pretest_contextual,40.0,0,2
1b,XIN3G,pretest_contextual,45.0,0,1
1b,XIN3G,pretest_contextual,50.0,0,1
1b,XIN3G,pretest_contextual,55.0,0,2
1b,XIN3G,pretest_contextual,60.0,0,1
1b,XIN3G,pretest_contextual,65.0,0,5
1b,XIN3G,pretest_contextual,70.0,0,6
1b,XIN3G,pretest_contextual,75.0,0,1
1b,XIN3G,pretest_contextual,80.0,0,1
1b,XIN3G,pretest_contextual,85.0,0,1
1b,XIN3G,pretest_contextual,90.0,0,2
1b,XIN3G,pretest_contextual,100.0,0,3
1b,XIN3G,pretest_contextual,105.0,0,4
1b,XIN3G,pretest_contextual,110.0,0,3
1b,XIN3G,pretest_contextual,115.0,0,1
1b,XIN3G,pretest_contextual,120.0,0,1
1b,XIN3G,pretest_contextual,125.0,0,1
1b,XIN3G,pretest_contextual,135.0,0,1
1b,XIN3G,pretest_contextual,160.0,0,1
1b,XIN3G,pretest_contextual,170.0,0,1
1b,XIN3G,pretest_contextual,180.0,0,1
1b,XIN3G,pretest_cue,5.0,0,2
1b,XIN3G,pretest_cue,10.0,0,1
1b,XIN3G,pretest_cue,15.0,0,1
1b,XIN3G,pretest_cue,20.0,0,2
1b,XIN3G,pretest_cue,25.0,0,1
1b,XIN3G,pretest_cue,30.0,0,3
1b,XIN3G,pretest_cue,35.0,0,2
1b,XIN3G,pretest_cue,40.0,0,2
1b,XIN3G,pretest_cue,65.0,0,1
1b,XIN3G,pretest_cue,85.0,0,1
1b,XIN3G,pretest_cue,90.0,0,2
1b,XIN3G,pretest_cue,130.0,0,3
1b,XIN3G,pretest_cue,135.0,0,2
1b,XIN3G,pretest_cue,140.0,0,2
1b,XIN3G,pretest_cue,210.0,0,1
1b,XIN3G,pretest_cue,215.0,0,1
1b,XIN3G,pretest_cue,230.0,0,1
1b,XIN3G,pretest_cue,235.0,0,1
1b,XIN3G,pretest_cue,250.0,0,2
1b,XIN3G,pretest_cue,255.0,0,1
1b,XIN3G,pretest_cue,260.0,0,1
1b,XIN3G,pretest_cue,280.0,0,2
1b,XIN3G,pretest_cue,300.0,0,1
1b,XIN3G,pretest_cue,305.0,0,3
1b,XIN3G,pretest_cue,310.0,0,1
1b,XIN3G,pretest_cue,350.0,0,3
1b,XIN3G,pretest_cue,485.0,0,2
1b,XIN3G,pretest_cue,490.0,0,2
1b,XIN3G,retest_contextual,0.0,0,11
1b,XIN3G,retest_contextual,5.0,0,8
1b,XIN3G,retest_contextual,10.0,0,11
1b,XIN3G,retest_contextual,15.0,0,6
1b,XIN3G,retest_contextual,20.0,0,5
1b,XIN3G,retest_contextual,25.0,0,5
1b,XIN3G,retest_contextual,30.0,0,5
1b,XIN3G,retest_contextual,35.0,0,8
1b,XIN3G,retest_contextual,40.0,0,4
1b,XIN3G,retest_contextual,45.0,0,4
1b,XIN3G,retest_contextual,50.0,0,4
1b,XIN3G,retest_contextual,55.0,0,5
1b,XIN3G,retest_contextual,60.0,0,6
1b,XIN3G,retest_contextual,65.0,0,7
1b,XIN3G,retest_contextual,70.0,0,14
1b,XIN3G,retest_contextual,75.0,0,7
1b,XIN3G,retest_contextual,80.0,0,6
1b,XIN3G,retest_contextual,85.0,0,9
1b,XIN3G,retest_contextual,90.0,0,6
1b,XIN3G,retest_contextual,95.0,0,5
1b,XIN3G,retest_contextual,100.0,0,4
1b,XIN3G,retest_contextual,105.0,0,9
1b,XIN3G,retest_contextual,110.0,0,9
1b,XIN3G,retest_contextual,115.0,0,5
1b,XIN3G,retest_contextual,120.0,0,9
1b,XIN3G,retest_contextual,125.0,0,12
1b,XIN3G,retest_contextual,130.0,0,7
1b,XIN3G,retest_contextual,135.0,0,3
1b,XIN3G,retest_contextual,140.0,0,1
1b,XIN3G,retest_contextual,145.0,0,4
1b,XIN3G,retest_contextual,150.0,0,3
1b,XIN3G,retest_contextual,155.0,0,3
1b,XIN3G,retest_contextual,160.0,0,2
1b,XIN3G,retest_contextual,165.0,0,4
1b,XIN3G,retest_contextual,170.0,0,3
1b,XIN3G,retest_contextual,175.0,0,6
1b,XIN3G,retest_contextual,180.0,0,6
1b,XIN3G,retest_cue,0.0,0,6
1b,XIN3G,retest_cue,10.0,0,1
1b,XIN3G,retest_cue,15.0,0,2
1b,XIN3G,retest_cue,20.0,0,3
1b,XIN3G,retest_cue,25.0,0,2
1b,XIN3G,retest_cue,30.0,0,5
1b,XIN3G,retest_cue,35.0,0,6
1b,XIN3G,retest_cue,40.0,0,3
1b,XIN3G,retest_cue,45.0,0,8
1b,XIN3G,retest_cue,50.0,0,4
1b,XIN3G,retest_cue,55.0,0,5
1b,XIN3G,retest_cue,60.0,0,6
1b,XIN3G,retest_cue,65.0,0,9
1b,XIN3G,retest_cue,70.0,0,4
1b,XIN3G,retest_cue,75.0,0,6
1b,XIN3G,retest_cue,80.0,0,4
1b,XIN3G,retest_cue,85.0,0,3
1b,XIN3G,retest_cue,90.0,0,6
1b,XIN3G,retest_cue,95.0,0,3
1b,XIN3G,retest_cue,100.0,0,3
1b,XIN3G,retest_cue,110.0,0,1
1b,XIN3G,retest_cue,115.0,0,4
1b,XIN3G,retest_cue,120.0,0,1
1b,XIN3G,retest_cue,125.0,0,1
1b,XIN3G,retest_cue,130.0,0,1
1b,XIN3G,retest_cue,135.0,0,5
1b,XIN3G,retest_cue,140.0,0,3
1b,XIN3G,retest_cue,145.0,0,1
1b,XIN3G,retest_cue,150.0,0,1
1b,XIN3G,retest_cue,155.0,0,2
1b,XIN3G,retest_cue,160.0,0,4
1b,XIN3G,retest_cue,170.0,0,1
1b,XIN3G,retest_cue,180.0,0,1
1b,XIN3G,retest_cue,200.0,0,1
1b,XIN3G,retest_cue,205.0,0,6
1b,XIN3G,retest_cue,220.0,0,4
1b,XIN3G,retest_cue,235.0,0,1
1b,XIN3G,retest_cue,245.0,0,2
1b,XIN3G,retest_cue,250.0,0,5
1b,XIN3G,retest_cue,255.0,0,5
1b,XIN3G,retest_cue,260.0,0,1
1b,XIN3G,retest_cue,265.0,0,4
1b,XIN3G,retest_cue,270.0,0,8
1b,XIN3G,retest_cue,275.0,0,4
1b,XIN3G,retest_cue,280.0,0,7
1b,XIN3G,retest_cue,285.0,0,2
1b,XIN3G,retest_cue,295.0,0,1
1b,XIN3G,retest_cue,325.0,0,3
1b,XIN3G,retest_cue,330.0,0,3
1b,XIN3G,retest_cue,350.0,0,2
1b,XIN3G,retest_cue,355.0,0,1
1b,XIN3G,retest_cue,360.0,0,1
1b,XIN3G,retest_cue,365.0,0,1
1b,XIN3G,retest_cue,370.0,0,1
1b,XIN3G,retest_cue,385.0,0,1
1b,XIN3G,retest_cue,395.0,0,2
1b,XIN3G,retest_cue,415.0,0,2
1b,XIN3G,retest_cue,420.0,0,4
1b,XIN3G,retest_cue,440.0,0,1
1b,XIN3G,retest_cue,455.0,0,1
1b,XIN3G,retest_cue,465.0,0,6
1b,XIN3G,retest_cue,470.0,0,2
1b,XIN3G,retest_cue,510.0,0,2
1b,XIN3G,retest_cue,540.0,0,1
1b,XIN3R,pretest_contextual,0.0,0,1
1b,XIN3R,pretest_contextual,5.0,0,2
1b,XIN3R,pretest_contextual,10.0,0,2
1b,XIN3R,pretest_contextual,15.0,0,2
1b,XIN3R,pretest_contextual,20.0,0,4
1b,XIN3R,pretest_contextual,25.0,0,3
1b,XIN3R,pretest_contextual,30.0,0,6
1b,XIN3R,pretest_contextual,35.0,0,5
1b,XIN3R,pretest_contextual,40.0,0,7
1b,XIN3R,pretest_contextual,45.0,0,4
1b,XIN3R,pretest_contextual,50.0,0,2
1b,XIN3R,pretest_contextual,55.0,0,1
1b,XIN3R,pretest_contextual,60.0,0,1
1b,XIN3R,pretest_contextual,65.0,0,2
1b,XIN3R,pretest_contextual,70.0,0,2
1b,XIN3R,pretest_contextual,75.0,0,3
1b,XIN3R,pretest_contextual,80.0,0,3
1b,XIN3R,pretest_contextual,85.0,0,5
1b,XIN3R,pretest_contextual,90.0,0,5
1b,XIN3R,pretest_contextual,95.0,0,5
1b,XIN3R,pretest_contextual,100.0,0,3
1b,XIN3R,pretest_contextual,105.0,0,7
1b,XIN3R,pretest_contextual,120.0,0,3
1b,XIN3R,pretest_contextual,125.0,0,4
1b,XIN3R,pretest_contextual,130.0,0,2
1b,XIN3R,pretest_contextual,135.0,0,1
1b,XIN3R,pretest_contextual,140.0,0,2
1b,XIN3R,pretest_contextual,145.0,0,4
1b,XIN3R,pretest_contextual,150.0,0,3
1b,XIN3R,pretest_contextual,155.0,0,3
1b,XIN3R,pretest_contextual,165.0,0,1
1b,XIN3R,pretest_contextual,170.0,0,1
1b,XIN3R,pretest_contextual,175.0,0,1
1b,XIN3R,pretest_contextual,180.0,0,2
1b,XIN3R,pretest_contextual,185.0,0,1
1b,XIN3R,pretest_cue,15.0,0,1
1b,XIN3R,pretest_cue,40.0,0,1
1b,XIN3R,pretest_cue,75.0,0,3
1b,XIN3R,pretest_cue,105.0,0,1
1b,XIN3R,pretest_cue,425.0,0,1
1b,XIN3R,retest_contextual,0.0,0,1
1b,XIN3R,retest_contextual,5.0,0,2
1b,XIN3R,retest_contextual,10.0,0,5
1b,XIN3R,retest_contextual,15.0,0,3
1b,XIN3R,retest_contextual,20.0,0,7
1b,XIN3R,retest_contextual,25.0,0,2
1b,XIN3R,retest_contextual,30.0,0,5
1b,XIN3R,retest_contextual,35.0,0,1
1b,XIN3R,retest_contextual,40.0,0,3
1b,XIN3R,retest_contextual,45.0,0,5
1b,XIN3R,retest_contextual,50.0,0,6
1b,XIN3R,retest_contextual,55.0,0,5
1b,XIN3R,retest_contextual,60.0,0,2
1b,XIN3R,retest_contextual,65.0,0,4
1b,XIN3R,retest_contextual,70.0,0,2
1b,XIN3R,retest_contextual,75.0,0,8
1b,XIN3R,retest_contextual,80.0,0,10
1b,XIN3R,retest_contextual,85.0,0,5
1b,XIN3R,retest_contextual,90.0,0,13
1b,XIN3R,retest_contextual,95.0,0,7
1b,XIN3R,retest_contextual,100.0,0,3
1b,XIN3R,retest_contextual,105.0,0,5
1b,XIN3R,retest_contextual,110.0,0,1
1b,XIN3R,retest_contextual,115.0,0,3
1b,XIN3R,retest_contextual,120.0,0,6
1b,XIN3R,retest_contextual,125.0,0,9
1b,XIN3R,retest_contextual,130.0,0,11
1b,XIN3R,retest_contextual,135.0,0,13
1b,XIN3R,retest_contextual,140.0,0,3
1b,XIN3R,retest_contextual,145.0,0,6
1b,XIN3R,retest_contextual,150.0,0,6
1b,XIN3R,retest_contextual,155.0,0,7
1b,XIN3R,retest_contextual,160.0,0,4
1b,XIN3R,retest_contextual,165.0,0,6
1b,XIN3R,retest_contextual,170.0,0,2
1b,XIN3R,retest_contextual,175.0,0,2
1b,XIN3R,retest_contextual,180.0,0,6
1b,XIN3R,retest_cue,130.0,0,2
1b,XIN3R,retest_cue,175.0,0,1
1b,XIN3R,retest_cue,465.0,0,1
1b,XIN3R,retest_cue,470.0,0,2
1b,XIN3R,retest_cue,475.0,0,1
1b,XIN4B,pretest_contextual,5.0,0,1
1b,XIN4B,pretest_contextual,10.0,0,1
1b,XIN4B,pretest_contextual,15.0,0,2
1b,XIN4B,pretest_contextual,30.0,0,1
1b,XIN4B,pretest_contextual,35.0,0,1
1b,XIN4B,pretest_contextual,40.0,0,5
1b,XIN4B,pretest_contextual,45.0,0,2
1b,XIN4B,pretest_contextual,50.0,0,2
1b,XIN4B,pretest_contextual,55.0,0,1
1b,XIN4B,pretest_contextual,60.0,0,1
1b,XIN4B,pretest_cue,0.0,0,2
1b,XIN4B,pretest_cue,25.0,0,1
1b,XIN4B,pretest_cue,50.0,0,2
1b,XIN4B,pretest_cue,130.0,0,1
1b,XIN4B,pretest_cue,135.0,0,1
1b,XIN4B,pretest_cue,200.0,1,0
1b,XIN4B,pretest_cue,205.0,1,0
1b,XIN4B,pretest_cue,210.0,2,0
1b,XIN4B,pretest_cue,215.0,3,0
1b,XIN4B,pretest_cue,220.0,4,0
1b,XIN4B,pretest_cue,225.0,2,0
1b,XIN4B,pretest_cue,230.0,2,0
1b,XIN4B,pretest_cue,235.0,7,0
1b,XIN4B,pretest_cue,245.0,2,0
1b,XIN4B,pretest_cue,250.0,1,0
1b,XIN4B,pretest_cue,255.0,2,0
1b,XIN4B,pretest_cue,260.0,4,0
1b,XIN4B,pretest_cue,265.0,1,0
1b,XIN4B,pretest_cue,295.0,1,0
1b,XIN4B,pretest_cue,310.0,1,0
1b,XIN4B,pretest_cue,315.0,2,0
1b,XIN4B,pretest_cue,320.0,3,0
1b,XIN4B,pretest_cue,380.0,2,0
1b,XIN4B,pretest_cue,385.0,2,0
1b,XIN4B,pretest_cue,390.0,2,0
1b,XIN4B,pretest_cue,395.0,2,0
1b,XIN4B,pretest_cue,400.0,5,0
1b,XIN4B,pretest_cue,405.0,3,0
1b,XIN4B,pretest_cue,410.0,2,0
1b,XIN4B,pretest_cue,415.0,1,0
1b,XIN4B,pretest_cue,420.0,6,0
1b,XIN4B,pretest_cue,425.0,1,0
1b,XIN4B,pretest_cue,430.0,3,0
1b,XIN4B,pretest_cue,435.0,2,0
1b,XIN4B,pretest_cue,450.0,1,0
1b,XIN4B,pretest_cue,455.0,3,0
1b,XIN4B,pretest_cue,475.0,1,0
1b,XIN4B,pretest_cue,480.0,2,0
1b,XIN4B,retest_contextual,0.0,0,1
1b,XIN4B,retest_contextual,5.0,0,5
1b,XIN4B,retest_contextual,10.0,0,8
1b,XIN4B,retest_contextual,15.0,0,6
1b,XIN4B,retest_contextual,20.0,0,2
1b,XIN4B,retest_contextual,25.0,0,1
1b,XIN4B,retest_contextual,30.0,0,2
1b,XIN4B,retest_contextual,35.0,0,6
1b,XIN4B,retest_contextual,40.0,0,5
1b,XIN4B,retest_contextual,45.0,0,10
1b,XIN4B,retest_contextual,50.0,0,8
1b,XIN4B,retest_contextual,55.0,0,3
1b,XIN4B,retest_contextual,60.0,0,2
1b,XIN4B,retest_contextual,65.0,0,3
1b,XIN4B,retest_contextual,70.0,0,2
1b,XIN4B,retest_contextual,75.0,0,5
1b,XIN4B,retest_contextual,80.0,0,3
1b,XIN4B,retest_contextual,85.0,0,3
1b,XIN4B,retest_contextual,90.0,0,2
1b,XIN4B,retest_contextual,95.0,0,3
1b,XIN4B,retest_contextual,100.0,0,2
1b,XIN4B,retest_contextual,105.0,0,5
1b,XIN4B,retest_contextual,140.0,0,1
1b,XIN4B,retest_contextual,150.0,0,1
1b,XIN4B,retest_contextual,160.0,0,2
1b,XIN4B,retest_contextual,175.0,0,1
1b,XIN4B,retest_cue,30.0,0,1
1b,XIN4B,retest_cue,50.0,0,3
1b,XIN4B,retest_cue,55.0,0,3
1b,XIN4B,retest_cue,535.0,0,1
1b,XIN4G,pretest_contextual,0.0,0,1
1b,XIN4G,pretest_contextual,5.0,0,6
1b,XIN4G,pretest_contextual,15.0,0,2
1b,XIN4G,pretest_contextual,20.0,0,4
1b,XIN4G,pretest_contextual,25.0,0,4
1b,XIN4G,pretest_contextual,30.0,0,3
1b,XIN4G,pretest_contextual,35.0,0,3
1b,XIN4G,pretest_contextual,40.0,0,3
1b,XIN4G,pretest_contextual,45.0,0,2
1b,XIN4G,pretest_contextual,50.0,0,4
1b,XIN4G,pretest_contextual,55.0,0,1
1b,XIN4G,pretest_contextual,60.0,0,3
1b,XIN4G,pretest_contextual,65.0,0,4
1b,XIN4G,pretest_contextual,70.0,0,5
1b,XIN4G,pretest_contextual,75.0,0,2
1b,XIN4G,pretest_contextual,85.0,0,1
1b,XIN4G,pretest_contextual,90.0,0,2
1b,XIN4G,pretest_contextual,95.0,0,4
1b,XIN4G,pretest_contextual,100.0,0,3
1b,XIN4G,pretest_contextual,105.0,0,4
1b,XIN4G,pretest_contextual,110.0,0,3
1b,XIN4G,pretest_contextual,160.0,0,1
1b,XIN4G,pretest_contextual,165.0,0,1
1b,XIN4G,pretest_contextual,170.0,0,1
1b,XIN4G,pretest_contextual,175.0,0,1
1b,XIN4G,pretest_cue,10.0,0,1
1b,XIN4G,pretest_cue,45.0,0,1
1b,XIN4G,pretest_cue,115.0,0,1
1b,XIN4G,pretest_cue,120.0,0,6
1b,XIN4G,pretest_cue,135.0,0,1
1b,XIN4G,retest_contextual,0.0,0,2
1b,XIN4G,retest_contextual,5.0,0,3
1b,XIN4G,retest_contextual,10.0,0,4
1b,XIN4G,retest_contextual,15.0,0,9
1b,XIN4G,retest_contextual,20.0,0,7
1b,XIN4G,retest_contextual,25.0,0,3
1b,XIN4G,retest_contextual,30.0,0,5
1b,XIN4G,retest_contextual,35.0,0,5
1b,XIN4G,retest_contextual,40.0,0,8
1b,XIN4G,retest_contextual,45.0,0,5
1b,XIN4G,retest_contextual,50.0,0,2
1b,XIN4G,retest_contextual,55.0,0,4
1b,XIN4G,retest_contextual,60.0,0,4
1b,XIN4G,retest_contextual,65.0,0,2
1b,XIN4G,retest_contextual,70.0,0,6
1b,XIN4G,retest_contextual,75.0,0,7
1b,XIN4G,retest_contextual,80.0,0,5
1b,XIN4G,retest_contextual,85.0,0,7
1b,XIN4G,retest_contextual,90.0,0,6
1b,XIN4G,retest_contextual,95.0,0,4
1b,XIN4G,retest_contextual,100.0,0,1
1b,XIN4G,retest_contextual,105.0,0,6
1b,XIN4G,retest_contextual,110.0,0,6
1b,XIN4G,retest_contextual,115.0,0,4
1b,XIN4G,retest_contextual,120.0,0,3
1b,XIN4G,retest_contextual,125.0,0,5
1b,XIN4G,retest_contextual,130.0,0,5
1b,XIN4G,retest_contextual,135.0,0,1
1b,XIN4G,retest_contextual,140.0,0,1
1b,XIN4G,retest_contextual,145.0,0,1
