study,subject_id,session_name,time_bin_start_s,usv22_call_count_5s,usv50_call_count_5s
1a,XIN1B,generalization_7k,465.0,1,0
1a,XIN1B,generalization_7k,470.0,1,0
1a,XIN1B,generalization_7k,475.0,5,0
1a,XIN1B,generalization_7k,480.0,4,0
1a,XIN1B,generalization_7k,485.0,2,0
1a,XIN1B,generalization_7k,490.0,4,0
1a,XIN1B,generalization_7k,495.0,5,0
1a,XIN1B,generalization_7k,500.0,5,0
1a,XIN1B,generalization_7k,510.0,1,0
1a,XIN1B,generalization_7k,515.0,3,0
1a,XIN1B,generalization_7k,520.0,5,0
1a,XIN1B,generalization_7k,525.0,1,0
1a,XIN1B,generalization_7k,530.0,4,0
1a,XIN1B,generalization_7k,535.0,3,0
1a,XIN1B,generalization_7k,540.0,1,0
1a,XIN1B,learning,0.0,0,2
1a,XIN1B,learning,5.0,0,1
1a,XIN1B,learning,10.0,0,3
1a,XIN1B,learning,15.0,0,2
1a,XIN1B,learning,25.0,0,5
1a,XIN1B,learning,35.0,0,1
1a,XIN1B,learning,45.0,0,4
1a,XIN1B,learning,50.0,0,4
1a,XIN1B,learning,55.0,0,6
1a,XIN1B,learning,60.0,0,3
1a,XIN1B,learning,65.0,0,1
1a,XIN1B,learning,70.0,0,2
1a,XIN1B,learning,75.0,0,5
1a,XIN1B,learning,85.0,0,2
1a,XIN1B,learning,90.0,0,1
1a,XIN1B,learning,95.0,0,2
1a,XIN1B,learning,100.0,0,3
1a,XIN1B,learning,140.0,0,2
1a,XIN1B,learning,145.0,0,1
1a,XIN1B,learning,150.0,0,2
1a,XIN1B,learning,155.0,0,4
1a,XIN1B,learning,160.0,0,1
1a,XIN1B,learning,200.0,0,1
1a,XIN1B,learning,205.0,0,2
1a,XIN1B,learning,215.0,0,1
1a,XIN1B,learning,220.0,0,2
1a,XIN1B,learning,235.0,0,2
1a,XIN1B,learning,240.0,0,1
1a,XIN1B,learning,245.0,0,2
1a,XIN1B,learning,250.0,0,3
1a,XIN1B,learning,255.0,0,1
1a,XIN1B,learning,260.0,0,3
1a,XIN1B,learning,270.0,0,1
1a,XIN1B,learning,290.0,0,1
1a,XIN1B,learning,300.0,0,2
1a,XIN1B,learning,305.0,0,1
1a,XIN1B,learning,310.0,0,1
1a,XIN1B,learning,315.0,0,1
1a,XIN1B,learning,340.0,0,2
1a,XIN1B,learning,360.0,0,1
1a,XIN1B,learning,365.0,0,1
1a,XIN1B,learning,430.0,0,2
1a,XIN1B,learning,435.0,0,1
1a,XIN1B,learning,440.0,0,1
1a,XIN1B,learning,465.0,0,1
1a,XIN1B,learning,605.0,1,0
1a,XIN1B,learning,635.0,0,2
1a,XIN1B,learning,640.0,0,1
1a,XIN1B,learning,650.0,0,2
1a,XIN1B,learning,655.0,0,1
1a,XIN1B,learning,660.0,0,2
1a,XIN1B,learning,665.0,0,1
1a,XIN1B,learning,675.0,0,2
1a,XIN1B,learning,685.0,0,1
1a,XIN1B,learning,690.0,0,1
1a,XIN1B,learning,700.0,0,1
1a,XIN1B,learning,710.0,0,1
1a,XIN1B,learning,715.0,0,1
1a,XIN1B,learning,720.0,0,3
1a,XIN1B,learning,925.0,2,0
1a,XIN1B,learning,930.0,3,0
1a,XIN1B,learning,935.0,1,0
1a,XIN1B,learning,940.0,2,0
1a,XIN1B,learning,945.0,1,0
1a,XIN1B,learning,955.0,1,0
1a,XIN1B,learning,960.0,2,0
1a,XIN1B,learning,985.0,1,0
1a,XIN1B,learning,990.0,3,0
1a,XIN1B,learning,995.0,3,0
1a,XIN1B,learning,1000.0,3,0
1a,XIN1B,learning,1005.0,6,0
1a,XIN1B,learning,1010.0,4,0
1a,XIN1B,learning,1015.0,4,0
1a,XIN1B,learning,1020.0,3,0
1a,XIN1B,learning,1025.0,4,0
1a,XIN1B,learning,1030.0,4,0
1a,XIN1B,learning,1035.0,4,0
1a,XIN1B,learning,1040.0,4,0
1a,XIN1B,learning,1045.0,5,0
1a,XIN1B,learning,1050.0,6,0
1a,XIN1B,learning,1055.0,6,0
1a,XIN1B,learning,1060.0,4,0
1a,XIN1B,learning,1065.0,3,0
1a,XIN1B,learning,1070.0,4,0
1a,XIN1B,learning,1075.0,5,0
1a,XIN1B,learning,1080.0,3,0
1a,XIN1B,learning,1085.0,1,0
1a,XIN1B,learning,1090.0,3,0
1a,XIN1B,learning,1095.0,3,0
1a,XIN1B,learning,1100.0,3,0
1a,XIN1B,learning,1105.0,3,0
1a,XIN1B,learning,1110.0,5,0
1a,XIN1B,learning,1115.0,4,0
1a,XIN1B,learning,1120.0,6,0
1a,XIN1B,learning,1125.0,3,0
1a,XIN1B,learning,1130.0,4,0
1a,XIN1B,learning,1135.0,4,0
1a,XIN1B,learning,1140.0,4,0
1a,XIN1B,learning,1145.0,2,0
1a,XIN1B,retest_cue,10.0,0,1
1a,XIN1B,retest_cue,20.0,0,1
1a,XIN1B,retest_cue,40.0,0,1
1a,XIN1B,retest_cue,50.0,0,2
1a,XIN1B,retest_cue,55.0,0,4
1a,XIN1B,retest_cue,60.0,0,5
1a,XIN1B,retest_cue,65.0,0,5
1a,XIN1B,retest_cue,70.0,0,4
1a,XIN1B,retest_cue,75.0,0,4
1a,XIN1B,retest_cue,80.0,0,1
1a,XIN1B,retest_cue,85.0,0,1
1a,XIN1B,retest_cue,485.0,1,0
1a,XIN1B,retest_cue,490.0,2,0
1a,XIN1B,retest_cue,495.0,2,0
1a,XIN1B,retest_cue,520.0,2,0
1a,XIN1G,contextual_test,115.0,0,1
1a,XIN1G,cue_test,100.0,0,4
1a,XIN1G,cue_test,385.0,1,0
1a,XIN1G,cue_test,390.0,3,0
1a,XIN1G,cue_test,395.0,2,0
1a,XIN1G,cue_test,400.0,4,0
1a,XIN1G,cue_test,405.0,2,0
1a,XIN1G,cue_test,410.0,4,0
1a,XIN1G,cue_test,415.0,4,0
1a,XIN1G,cue_test,420.0,4,0
1a,XIN1G,cue_test,425.0,4,0
1a,XIN1G,cue_test,430.0,4,0
1a,XIN1G,cue_test,435.0,4,0
1a,XIN1G,cue_test,440.0,4,0
1a,XIN1G,cue_test,445.0,3,0
1a,XIN1G,cue_test,450.0,4,0
1a,XIN1G,cue_test,455.0,3,0
1a,XIN1G,cue_test,460.0,4,0
1a,XIN1G,cue_test,465.0,4,0
1a,XIN1G,cue_test,470.0,4,0
1a,XIN1G,cue_test,475.0,3,0
1a,XIN1G,cue_test,480.0,4,0
1a,XIN1G,cue_test,485.0,2,0
1a,XIN1G,cue_test,490.0,1,0
1a,XIN1G,cue_test,495.0,3,0
1a,XIN1G,cue_test,500.0,2,0
1a,XIN1G,cue_test,505.0,3,0
1a,XIN1G,cue_test,510.0,5,0
1a,XIN1G,cue_test,515.0,5,0
1a,XIN1G,cue_test,520.0,5,0
1a,XIN1G,cue_test,525.0,2,0
1a,XIN1G,cue_test,530.0,2,0
1a,XIN1G,cue_test,540.0,1,0
1a,XIN1G,generalization_5k,0.0,0,2
1a,XIN1G,generalization_5k,25.0,0,1
1a,XIN1G,generalization_5k,30.0,0,5
1a,XIN1G,generalization_5k,40.0,0,4
1a,XIN1G,generalization_5k,100.0,0,3
1a,XIN1G,generalization_5k,135.0,0,1
1a,XIN1G,generalization_5k,140.0,0,2
1a,XIN1G,generalization_5k,155.0,0,4
1a,XIN1G,generalization_5k,390.0,2,0
1a,XIN1G,generalization_5k,395.0,3,0
1a,XIN1G,generalization_5k,400.0,1,0
1a,XIN1G,generalization_7k,5.0,0,1
1a,XIN1G,generalization_7k,30.0,0,3
1a,XIN1G,generalization_7k,50.0,0,1
1a,XIN1G,generalization_7k,75.0,0,1
1a,XIN1G,generalization_7k,110.0,0,14
1a,XIN1G,generalization_7k,115.0,0,6
1a,XIN1G,generalization_7k,205.0,1,0
1a,XIN1G,generalization_7k,210.0,1,0
1a,XIN1G,generalization_7k,215.0,3,0
1a,XIN1G,generalization_7k,220.0,4,0
1a,XIN1G,generalization_7k,225.0,3,0
1a,XIN1G,generalization_7k,230.0,3,0
1a,XIN1G,generalization_7k,235.0,2,0
1a,XIN1G,generalization_7k,240.0,1,0
1a,XIN1G,generalization_7k,245.0,3,0
1a,XIN1G,generalization_7k,250.0,3,0
1a,XIN1G,generalization_7k,255.0,2,0
1a,XIN1G,generalization_7k,260.0,3,0
1a,XIN1G,generalization_7k,265.0,3,0
1a,XIN1G,generalization_7k,270.0,4,0
1a,XIN1G,generalization_7k,275.0,5,0
1a,XIN1G,generalization_7k,280.0,4,0
1a,XIN1G,generalization_7k,285.0,4,0
1a,XIN1G,generalization_7k,290.0,5,0
1a,XIN1G,generalization_7k,295.0,1,0
1a,XIN1G,generalization_7k,300.0,3,0
1a,XIN1G,generalization_7k,305.0,3,0
1a,XIN1G,generalization_7k,310.0,3,0
1a,XIN1G,generalization_7k,315.0,3,0
1a,XIN1G,generalization_7k,320.0,3,0
1a,XIN1G,generalization_7k,325.0,5,0
1a,XIN1G,generalization_7k,330.0,1,0
1a,XIN1G,generalization_7k,380.0,1,0
1a,XIN1G,generalization_7k,385.0,1,0
1a,XIN1G,generalization_7k,400.0,1,0
1a,XIN1G,generalization_7k,415.0,1,0
1a,XIN1G,generalization_7k,420.0,1,0
1a,XIN1G,generalization_7k,430.0,1,0
1a,XIN1G,generalization_7k,435.0,3,0
1a,XIN1G,generalization_7k,440.0,3,0
