study,comparison,frobenius_norm,p_value,null_mean,null_std
1a,CS+_vs_CS-,0.15992007606919315,0.1918081918081918,0.12217854876431557,0.04672258958323494
1a,CS+_vs_no_CS,0.37117450132421465,0.01898101898101898,0.1588477224590896,0.08609907363489358
1b,CS+_vs_no_CS,0.411878101822014,0.3706293706293706,0.381739183232167,0.16991537224030195
