model,log_likelihood,AIC,McFadden_pseudoR2,n_predictors,n_obs
Poisson_4state,-343.7394548508223,695.4789097016446,0.08067468208000439,3,130
Poisson_freezing,-369.27262552868046,742.5452510573609,0.012386651946499572,1,130
NB2_4state,-286.8996055945369,583.7992111890738,0.017990655810515288,3,130
NB2_freezing,-291.3641027791121,588.7282055582242,0.0027094289741269595,1,130
