subject_id,session_name,study,session_type,n_bins,n_fear_bins,n_goal_bins,n_other_bins,n_fg_transitions,conflict_episodes,alternation_rate,transition_rate,fg_transition_rate
NOEXT3B,retrieval,2,threat_dominant,72,0,1,71,0,0,0.0,0.014084507042253521,0.0
NOEXT3G,LTM2,2,both_threat_reward,144,53,1,90,0,0,0.0,0.1888111888111888,0.0
NOEXT3G,extinction1,2,threat_dominant,684,0,5,679,0,0,0.0,0.013177159590043924,0.0
NOEXT3G,extinction2,2,other,396,0,1,395,0,0,0.0,0.002531645569620253,0.0
NOEXT3G,extinction3,2,other,396,0,25,371,0,0,0.0,0.07341772151898734,0.0
NOEXT3G,extinction4,2,other,396,10,2,384,0,0,0.0,0.053164556962025315,0.0
NOEXT3G,learning,2,both_threat_reward,228,96,31,101,2,0,0.0,0.13215859030837004,0.00881057268722467
NOEXT3G,renewal,2,both_threat_reward,144,3,1,140,0,0,0.0,0.04895104895104895,0.0
NOEXT3G,retrieval,2,threat_dominant,72,0,1,71,0,0,0.0,0.014084507042253521,0.0
NOEXT3R,LTM2,2,both_threat_reward,144,22,17,105,0,0,0.0,0.1958041958041958,0.0
NOEXT3R,extinction1,2,threat_dominant,684,0,39,645,0,0,0.0,0.10980966325036604,0.0
NOEXT3R,extinction2,2,other,396,0,22,374,0,0,0.0,0.10379746835443038,0.0
NOEXT3R,extinction3,2,other,396,0,31,365,0,0,0.0,0.14177215189873418,0.0
NOEXT3R,extinction4,2,other,396,2,30,364,0,0,0.0,0.14936708860759493,0.0
NOEXT3R,learning,2,both_threat_reward,228,91,6,131,2,0,0.0,0.1145374449339207,0.00881057268722467
NOEXT3R,renewal,2,both_threat_reward,144,0,5,139,0,0,0.0,0.06293706293706294,0.0
NOEXT3R,retrieval,2,threat_dominant,72,0,3,69,0,0,0.0,0.07042253521126761,0.0
XIN1B,contextual_test,1a,reward_dominant,36,0,29,7,0,0,0.0,0.34285714285714286,0.0
XIN1B,cue_test,1a,both_threat_reward,108,60,5,43,0,0,0.0,0.12149532710280374,0.0
XIN1B,generalization_5k,1a,reward_dominant,108,0,8,100,0,0,0.0,0.1308411214953271,0.0
XIN1B,generalization_7k,1a,both_threat_reward,108,42,10,56,0,0,0.0,0.22429906542056074,0.0
XIN1B,learning,1a,both_threat_reward,228,39,63,126,0,0,0.0,0.2687224669603524,0.0
XIN1B,retest_contextual,1b,reward_dominant,36,0,15,21,0,0,0.0,0.45714285714285713,0.0
XIN1B,retest_cue,1b,other,108,0,7,101,0,0,0.0,0.102803738317757,0.0
XIN1G,contextual_test,1a,reward_dominant,36,0,7,29,0,0,0.0,0.34285714285714286,0.0
XIN1G,generalization_5k,1a,reward_dominant,108,3,13,92,0,0,0.0,0.205607476635514,0.0
XIN1G,generalization_7k,1a,both_threat_reward,108,48,6,54,0,0,0.0,0.205607476635514,0.0
XIN1G,learning,1a,both_threat_reward,228,47,23,158,0,0,0.0,0.1894273127753304,0.0
XIN1G,retest_contextual,1b,reward_dominant,36,0,6,30,0,0,0.0,0.2571428571428571,0.0
XIN1G,retest_cue,1b,other,108,5,15,88,1,0,0.0,0.2897196261682243,0.009345794392523364
XIN1R,contextual_test,1a,reward_dominant,36,0,8,28,0,0,0.0,0.34285714285714286,0.0
