K,BIC,CV_LL_mean,CV_LL_std,n_params
2,-702375.9337987659,7.230687136187678,0.4451764200762032,19
3,-1389414.7615546468,14.447737725633889,0.4536163380804018,32
4,-1448117.7097747782,15.068076399117611,0.3492301771850298,47
5,-1475400.8167843972,15.352708080321225,0.29954259057777516,64
6,-1499430.6406820726,15.608347387239888,0.26895143409883526,83
7,-1513792.7377594975,15.36051739148304,0.6571202181331972,104
8,-1521521.794799176,15.699063502315274,0.21569635446958976,127
