K8_state,K8_occupancy
0,0.8173134201344566
1,0.07110033188664794
2,0.0319547272572547
3,0.025104246447110883
4,0.0230193175048932
5,0.02287039400902051
6,0.008595013190366776
7,4.254957024934048e-05
