fold,K,state,n_runs_train,n_runs_test,mean_duration_train,std_duration_train,median_duration_train,max_duration_train,p_self_transition,geom_p,geom_expected_mean,ks_stat,ks_pvalue,nb_r,nb_p,variance_ratio,geometric_rejected
0,3,0,2452,669,12.581973898858076,29.503134757867976,4.0,408,0.9242360212105964,0.07576397878940355,13.198884430022321,0.27399615314756265,3.662908411892626e-163,0.18453752525967412,0.014454812213699708,69.18111319718419,True
0,3,1,819,349,1.006105006105006,0.07789566743705292,1.0,2,0.0060827250608173206,0.9939172749391827,1.0061199510403815,0.9939172749391827,0.0,1.0,0.9939172749391827,0.006030916225090986,True
0,3,2,1794,386,3.2670011148272016,5.843323495086182,1.0,94,0.6990375264645496,0.30096247353545036,3.322673382674103,0.30096247353545036,1.2546097891015166e-144,0.3456666197108109,0.09568181884155885,10.451306341238318,True
0,4,0,1317,268,2.296127562642369,3.0006972425099625,1.0,42,0.5680893810207229,0.4319106189792771,2.3152938502954004,0.4319106189792771,8.911416486297977e-224,0.78595072646873,0.25500673660545,3.9214650299502245,True
0,4,1,2452,669,12.581973898858076,29.503134757867976,4.0,408,0.9242367009943695,0.0757632990056305,13.19900285659001,0.2739978951876676,3.6451915201946435e-163,0.18453752525967412,0.014454812213699708,69.18111319718419,True
0,4,2,523,123,5.424474187380497,9.268644764751011,2.0,94,0.8226505457997199,0.17734945420028014,5.638585156685644,0.2140388153420531,1.6544331403741214e-21,0.36560279746314667,0.06314299419855114,15.837069697004418,True
0,4,3,819,349,1.006105006105006,0.07789566743705292,1.0,2,0.006082725060735647,0.9939172749392644,1.006119951040299,0.9939172749392644,0.0,1.0,0.9939172749392644,0.006030916225090986,True
0,5,0,2452,669,12.581973898858076,29.503134757867976,4.0,408,0.9242374785191126,0.07576252148088736,13.199138313424143,0.27399988770569245,3.625032108893165e-163,0.18453752525967412,0.014454812213699708,69.18111319718419,True
0,5,1,237,88,4.670886075949367,7.239230066622102,2.0,36,0.7945598443978998,0.20544015560210016,4.8675975593438325,0.23048146447307472,1.497959918867858e-11,0.457042381955641,0.0891280730040379,11.219809497673033,True
0,5,2,535,134,3.2242990654205608,5.317768506795711,1.0,58,0.6953231050146688,0.30467689498533124,3.2821655217673964,0.30467689498533124,1.430430450538559e-44,0.414941881990215,0.11401879897109732,8.770483543275091,True
0,5,3,819,349,1.006105006105006,0.07789566743705292,1.0,2,0.0060827250607858535,0.9939172749392141,1.0061199510403498,0.9939172749392141,0.0,1.0,0.9939172749392141,0.006030916225090986,True
0,5,4,1322,269,2.291225416036309,2.996073857379005,1.0,42,0.5672484761824393,0.43275152381756066,2.310794867175511,0.43275152381756066,1.532356170522342e-225,0.7852701311873191,0.25524825865455364,3.917754445304068,True
0,6,0,10,7,1.0,0.0,1.0,1,9.939232827117203e-41,1.0,1.0,1.0,0.0,1.0,1.0,0.0,True
0,6,1,237,88,4.670886075949367,7.239230066622102,2.0,36,0.7945592365858477,0.2054407634141523,4.867583158187936,0.23048049858734498,1.498284581345488e-11,0.457042381955641,0.0891280730040379,11.219809497673033,True
0,6,2,809,342,1.0061804697156984,0.0783726451626569,1.0,2,0.006157713847362124,0.9938422861526379,1.0061958662185726,0.9938422861526379,0.0,1.0,0.9938422861526379,0.006104542569313892,True
0,6,3,535,134,3.2242990654205608,5.317768506795711,1.0,58,0.6953230865768861,0.30467691342311387,3.2821653231443575,0.30467691342311387,1.4304124762623686e-44,0.414941881990215,0.11401879897109732,8.770483543275091,True
0,6,4,2452,669,12.581973898858076,29.503134757867976,4.0,408,0.9242374784605982,0.07576252153940177,13.199138303229923,0.27399988755574084,3.6250336218400845e-163,0.18453752525967412,0.014454812213699708,69.18111319718419,True
0,6,5,1322,269,2.291225416036309,2.996073857379005,1.0,42,0.5672483393412812,0.43275166065871884,2.3107941364750313,0.43275166065871884,1.531829130680548e-225,0.7852701311873191,0.25524825865455364,3.917754445304068,True
1,3,0,1802,378,3.497780244173141,6.085156478506661,1.0,94,0.7193543990762824,0.2806456009237176,3.563212808996819,0.2806456009237176,5.035195549689093e-126,0.3648665191304978,0.09446023452023744,10.586465353161461,True
1,3,1,2534,587,11.569060773480663,28.297072552845925,4.0,408,0.9172860338145992,0.08271396618540083,12.089856720913739,0.2583994844575698,1.033346989848166e-149,0.1696030869126297,0.014448244615375444,69.21256018435804,True
