study,stage_1,stage_2,frobenius_norm,p_value,null_mean,null_std
2,acquisition,extinction,0.17690208060222581,0.3036963036963037,0.15108112354337214,0.07340965399690286
2,acquisition,test,0.34023683605533916,0.002997002997002997,0.14721488295853682,0.05274902959711532
2,extinction,test,0.3147176538041889,0.000999000999000999,0.1008615297026491,0.04274688682778853
1a,acquisition,test,0.10170837050886104,0.8151848151848152,0.16327587502989233,0.08969220200729802
