state,channel,mean_emission_mean,std_emission_mean
0,usv22,0.30476751101805044,1.2675138115635176
0,usv50,0.8527758813392827,1.3114511279790255
0,lever,-0.16032709858053046,9.930136612989092e-17
0,freezing,0.3382221928560466,0.9628759684850801
1,usv22,-0.23828401212487602,2.7755575615628914e-17
1,usv50,-0.030841027421044227,0.0
1,lever,6.22612624182561,0.0
1,freezing,-0.12737635170330006,0.0
2,usv22,3.025085328320756,0.6296064484157189
2,usv50,1.0196970057387684,0.5251280574426663
2,lever,-0.16032709858053046,1.3033304304548184e-16
2,freezing,0.9141591758976328,0.17721794538327781
3,usv22,-0.2753253166742416,2.5709514910120325e-16
3,usv50,-0.22025222731561547,0.11192362117889994
3,lever,-0.16032709858053046,1.2428176919397967e-16
3,freezing,0.16137045726456647,0.5523274792993885
