model_rank,model_seed,state,usv22_mean,usv50_mean,lever_mean,freezing_mean
1,65,0,-0.2753253166742416,0.7263552095262815,-0.16032709858053032,-0.5874416136583411
1,65,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
1,65,2,3.2301010938987202,1.074283585885074,-0.16032709858053049,0.9421769556698146
1,65,3,-0.2753253166742416,-0.3220820682447651,-0.16032709858053037,0.0636130909600584
2,2,0,-0.27532531667424154,2.27020353383527,-0.16032709858053046,-0.43513335290774896
2,2,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
2,2,2,3.2062642952382814,1.0588668998502495,-0.16032709858053035,0.9589146172273256
2,2,3,-0.2753253166742416,-0.32208206824476493,-0.16032709858053049,-0.04629950239829492
3,30,0,-0.2753253166742417,0.46279683008539285,-0.1603270985805305,-0.4991961448388292
3,30,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
3,30,2,3.2476690011974596,1.0513927270125378,-0.16032709858053065,0.9484736904828553
3,30,3,-0.27532531667424187,-0.32208206824476515,-0.16032709858053054,0.09724613265261986
4,64,0,-0.27532531667424165,-0.02304923636412728,-0.16032709858053057,-0.44258119913672966
4,64,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
4,64,2,3.2476689920950266,1.0513927288343181,-0.1603270985805304,0.9484736934619266
4,64,3,-0.27532531667424137,-0.32208206824476465,-0.16032709858053026,1.171929029197372
5,54,0,-0.2753253166742419,-0.006463301418957491,-0.16032709858053054,-0.5630568120457943
5,54,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
5,54,2,3.2456784903642935,1.052912518675452,-0.16032709858053035,0.9486684946928435
5,54,3,-0.2753253166742416,-0.32208206824476543,-0.16032709858053049,1.2529306549210657
6,22,0,-0.2753253166742414,1.947560642548738,-0.16032709858053032,-0.44450843573712834
6,22,1,-0.23828401212487604,-0.030841027421044227,6.22612624182561,-0.12737635170330006
