modality,n,mean,sd,min,median,max,zero_prop,integer_valid,within_0_100
usv22,54393,0.2241097200007354,0.8507554254673798,0.0,0.0,10.0,0.9148235986248231,True,
usv50,54393,0.3491441913481514,1.3869652655544757,0.0,0.0,30.0,0.8809221774860736,True,
lever,69185,0.03682879236828793,0.19251729310417942,0.0,0.0,2.0,0.9639661776396617,True,
freezing,52836,36.425860019683554,33.5312456157984,0.0,25.68,100.0,0.15801726095843743,,True
boli,43032,2.8110940695296525,2.9125885767645188,0.0,3.0,10.0,0.4147378694924707,True,
