study,subject_id,session_name,band,source_filepath,score,n_raw_rows
1a,XIN2G,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin2G5k 2024-04-30  9_56 AM_Stats.xlsx,15,2.0
1a,XIN2G,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin2G7k 2024-04-30 12_14 AM_Stats.xlsx,15,10.0
1a,XIN2G,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin2Gcontrol 2024-04-29  8_52 PM_Stats.xlsx,0,6.0
1a,XIN2R,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin2Rcontext 2024-04-29  8_46 PM_Stats.xlsx,15,135.0
1a,XIN2R,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin2Rcue 2024-04-30 10_27 AM_Stats.xlsx,15,106.0
1a,XIN2R,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin2R5k 2024-04-30 10_15 AM_Stats.xlsx,15,134.0
1a,XIN2R,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin2R7k 2024-04-30 12_05 AM_Stats.xlsx,15,105.0
1a,XIN2R,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin2Rcontrol 2024-04-29  8_47 PM_Stats.xlsx,0,211.0
1a,XIN2R,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin2Rre 2024-09-05  5_04 PM_Stats.xlsx,15,116.0
1a,XIN3B,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin3Bcontext 2024-04-30  2_08 PM_Stats.xlsx,15,13.0
1a,XIN3B,cue_test,50,研究1a/oringinaldata/50kHz Matlab export/cue test/Xin3Bcue 2024-04-30 11_05 AM_Stats.xlsx,15,11.0
1a,XIN3B,generalization_5k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 5kHz/Xin3B5k 2024-04-30 11_02 AM_Stats.xlsx,15,3.0
1a,XIN3B,generalization_7k,50,研究1a/oringinaldata/50kHz Matlab export/generalization 7kHz/Xin3B7k 2024-04-30 12_14 AM_Stats.xlsx,15,6.0
1a,XIN3B,learning,50,研究1a/oringinaldata/50kHz Matlab export/learning/Xin3Bcontrol 2024-04-29  9_33 PM_Stats.xlsx,0,36.0
1a,XIN3B,retest_cue,50,研究1a/oringinaldata/50kHz Matlab export/retest/Xin3Bre 2024-09-06 10_48 AM_Stats.xlsx,15,16.0
1a,XIN3G,contextual_test,50,研究1a/oringinaldata/50kHz Matlab export/context/Xin3Gcontext 2024-04-30  2_08 PM_Stats.xlsx,15,78.0
