study,subject_id,session_name,band,source_filepath,score,n_raw_rows
2,EXT1G,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT1G renewal 2025-01-02  4_06 PM_Stats.xlsx,35,50.0
2,EXT1G,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT1G renewal 2025-02-17  7_51 PM_Stats.xlsx,15,110.0
2,EXT1G,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/0223处理_ret/EXT1G-ret 2024-12-31  5_47 PM_Stats.xlsx,35,55.0
2,EXT1G,retrieval,50,研究2/orginal data/50kHz USVs/2retrieve/EXT1G-ret 2025-02-16 10_57 PM_Stats.xlsx,15,82.0
2,EXT1R,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT1R 2025-02-08  4_44 PM_Stats.xlsx,15,4.0
2,EXT1R,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/EXT1R 2025-02-17  8_23 PM_Stats.xlsx,15,51.0
2,EXT1R,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT1R 2025-02-20  4_16 PM_Stats.xlsx,15,22.0
2,EXT1R,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT1R 2025-02-20  5_42 PM_Stats.xlsx,15,12.0
2,EXT1R,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/EXT1R 2025-02-20 11_43 PM_Stats.xlsx,15,130.0
2,EXT1R,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT1R 2024-12-30  9_38 PM_Stats.xlsx,35,42.0
2,EXT1R,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT1R 2025-02-16  9_58 PM_Stats.xlsx,15,66.0
2,EXT1R,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT1Rrenewal 2025-02-17  7_48 PM_Stats.xlsx,15,35.0
2,EXT1R,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/EXT1R-ret 2025-01-01  5_38 PM_Stats.xlsx,15,1.0
2,EXT2B,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT2B 2025-01-08  9_13 PM_Stats.xlsx,35,44.0
2,EXT2B,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/EXT2B 2025-02-06 11_21 PM_Stats.xlsx,15,126.0
2,EXT2B,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT2B 2025-01-20 10_51 PM_Stats.xlsx,15,4.0
2,EXT2B,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT2B-ext 2025-01-19 11_05 AM_Stats.xlsx,35,14.0
2,EXT2B,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/EXT2B-ext 2025-02-09  6_14 PM_Stats.xlsx,15,1.0
2,EXT2B,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/0223处理/EXT2B 2025-01-21  6_52 PM_Stats.xlsx,35,44.0
2,EXT2B,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT2B 2025-02-06  6_59 PM_Stats.xlsx,15,16.0
2,EXT2B,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/EXT2B 2025-01-23 10_24 PM_Stats.xlsx,15,10.0
2,EXT2B,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT2B 2025-02-11 11_26 AM_Stats.xlsx,15,1.0
2,EXT2B,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/EXT2B 2025-01-24 12_31 AM_Stats.xlsx,15,11.0
2,EXT2B,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT2B 2025-01-08  9_03 PM_Stats.xlsx,35,233.0
2,EXT2B,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT2B 2025-02-05 11_32 PM_Stats.xlsx,15,652.0
2,EXT2B,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT2B 2025-01-09  4_53 PM_Stats.xlsx,35,64.0
2,EXT2B,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT2B 2025-02-10  9_00 PM_Stats.xlsx,15,50.0
2,EXT2B,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/EXT2B-ret 2025-01-19 11_21 AM_Stats.xlsx,15,1.0
2,EXT2B,retrieval,50,研究2/orginal data/50kHz USVs/2retrieve/EXT2B-ret 2025-02-09  6_06 PM_Stats.xlsx,15,3.0
2,EXT2G,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT2G 2025-01-09  3_24 PM_Stats.xlsx,35,30.0
2,EXT2G,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/EXT2G 2025-02-06  6_00 PM_Stats.xlsx,15,58.0
2,EXT2G,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT2G 2025-01-20 10_54 PM_Stats.xlsx,15,4.0
2,EXT2G,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT2G-ext 2025-01-19 11_26 AM_Stats.xlsx,35,24.0
2,EXT2G,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/EXT2G-ext 2025-02-09  6_38 PM_Stats.xlsx,15,44.0
2,EXT2G,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/EXT2G 2025-01-21  6_48 PM_Stats.xlsx,15,10.0
2,EXT2G,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT2G 2025-02-06  7_08 PM_Stats.xlsx,15,45.0
2,EXT2G,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/EXT2G 2025-01-23 10_09 PM_Stats.xlsx,15,10.0
2,EXT2G,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT2G 2025-02-10 11_53 PM_Stats.xlsx,15,26.0
2,EXT2G,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/EXT2G 2025-01-24 12_33 AM_Stats.xlsx,15,5.0
2,EXT2G,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT2G 2025-01-08 11_59 PM_Stats.xlsx,35,70.0
2,EXT2G,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT2G 2025-02-05 11_34 PM_Stats.xlsx,15,162.0
2,EXT2G,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT2G 2025-01-09  5_05 PM_Stats.xlsx,35,21.0
2,EXT2G,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT2G 2025-02-10  8_51 PM_Stats.xlsx,15,46.0
2,EXT2G,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/EXT2G-ret 2025-01-19 11_40 AM_Stats.xlsx,15,1.0
2,EXT2G,retrieval,50,研究2/orginal data/50kHz USVs/2retrieve/EXT2G-ret 2025-02-09  6_29 PM_Stats.xlsx,15,12.0
2,EXT2R,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT2R 2025-01-08 11_37 PM_Stats.xlsx,35,45.0
2,EXT2R,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/EXT2R 2025-02-06  6_08 PM_Stats.xlsx,15,11.0
2,EXT2R,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT2R 2025-01-20 10_58 PM_Stats.xlsx,15,4.0
2,EXT2R,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/EXT2R 2025-02-11  5_49 PM_Stats.xlsx,15,32.0
2,EXT2R,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT2R-ext 2025-01-19 11_44 AM_Stats.xlsx,35,321.0
2,EXT2R,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/EXT2R-ext 2025-02-09  7_07 PM_Stats.xlsx,15,9.0
2,EXT2R,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/EXT2R 2025-01-21  6_42 PM_Stats.xlsx,15,10.0
2,EXT2R,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT2R 2025-02-06  7_24 PM_Stats.xlsx,15,22.0
2,EXT2R,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT2R 2025-01-23 10_01 PM_Stats.xlsx,35,25.0
2,EXT2R,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT2R 2025-02-11 12_08 PM_Stats.xlsx,15,12.0
2,EXT2R,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/EXT2R 2025-01-24 12_34 AM_Stats.xlsx,15,1.0
2,EXT2R,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/EXT2R 2025-02-11  1_09 PM_Stats.xlsx,15,10.0
2,EXT2R,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT2R 2025-01-08  9_26 PM_Stats.xlsx,35,70.0
2,EXT2R,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT2R 2025-02-05 11_37 PM_Stats.xlsx,15,410.0
2,EXT2R,renewal,22,研究2/orginal data/22kHz USVs/5renewal/EXT2R 2025-01-09  4_50 PM_Stats.xlsx,15,4.0
2,EXT2R,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT2R 2025-02-10  8_40 PM_Stats.xlsx,15,78.0
2,EXT2R,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/EXT2R-ret 2025-01-19  8_51 PM_Stats.xlsx,15,1.0
2,EXT2R,retrieval,50,研究2/orginal data/50kHz USVs/2retrieve/EXT2R-ret 2025-02-09  6_57 PM_Stats.xlsx,15,2.0
2,EXT3B,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT3B 2025-01-08  9_00 PM_Stats.xlsx,35,10.0
2,EXT3B,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/EXT3B 2025-02-06  6_16 PM_Stats.xlsx,15,13.0
2,EXT3B,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT3B 2025-01-20 11_01 PM_Stats.xlsx,15,4.0
2,EXT3B,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/EXT3B 2025-02-11  6_15 PM_Stats.xlsx,15,31.0
2,EXT3B,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/EXT3B-ext 2025-01-19  8_56 PM_Stats.xlsx,15,18.0
2,EXT3B,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/EXT3B-ext 2025-02-09  8_09 PM_Stats.xlsx,15,43.0
2,EXT3B,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT3B 2025-02-06  7_31 PM_Stats.xlsx,15,112.0
2,EXT3B,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT3B 2025-01-23 11_37 PM_Stats.xlsx,35,18.0
2,EXT3B,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT3B 2025-02-11 11_52 AM_Stats.xlsx,15,94.0
2,EXT3B,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/EXT3B 2025-01-24 12_36 AM_Stats.xlsx,15,4.0
2,EXT3B,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/EXT3B 2025-02-11  1_51 PM_Stats.xlsx,15,50.0
2,EXT3B,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT3B 2025-01-07  8_21 PM_Stats.xlsx,35,80.0
2,EXT3B,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT3B 2025-02-05 11_39 PM_Stats.xlsx,15,219.0
2,EXT3B,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT3B 2025-01-09  5_08 PM_Stats.xlsx,35,7.0
2,EXT3B,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT3B 2025-02-10  9_43 PM_Stats.xlsx,15,84.0
2,EXT3B,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/EXT3B-ret 2025-01-19  9_05 PM_Stats.xlsx,15,1.0
2,EXT3B,retrieval,50,研究2/orginal data/50kHz USVs/2retrieve/EXT3B-ret 2025-02-09  7_22 PM_Stats.xlsx,15,9.0
2,EXT3G,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT3G 2025-01-09  3_51 PM_Stats.xlsx,35,339.0
2,EXT3G,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/EXT3G 2025-02-06  6_21 PM_Stats.xlsx,15,304.0
2,EXT3G,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT3G 2025-01-20 11_04 PM_Stats.xlsx,15,4.0
2,EXT3G,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/EXT3G 2025-02-11  6_02 PM_Stats.xlsx,15,14.0
2,EXT3G,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT3G-ext 2025-01-19  9_09 PM_Stats.xlsx,35,524.0
2,EXT3G,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/EXT3G-ext 2025-02-09 10_16 PM_Stats.xlsx,15,1.0
2,EXT3G,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/0223处理/EXT3G 2025-01-21  7_07 PM_Stats.xlsx,35,103.0
2,EXT3G,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT3G 2025-02-06  7_45 PM_Stats.xlsx,15,24.0
2,EXT3G,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT3G 2025-01-23 10_58 PM_Stats.xlsx,35,27.0
2,EXT3G,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT3G 2025-02-11 11_41 AM_Stats.xlsx,15,41.0
2,EXT3G,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/EXT3G 2025-01-24 12_38 AM_Stats.xlsx,15,7.0
2,EXT3G,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT3G 2025-01-07  8_39 PM_Stats.xlsx,35,356.0
2,EXT3G,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT3G 2025-02-05 11_41 PM_Stats.xlsx,15,325.0
2,EXT3G,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT3G 2025-01-09  4_59 PM_Stats.xlsx,35,244.0
2,EXT3G,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT3G 2025-02-10  9_32 PM_Stats.xlsx,15,229.0
2,EXT3G,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/0223处理_ret/EXT3G-ret 2025-01-19 10_53 PM_Stats.xlsx,35,72.0
2,EXT3R,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/EXT3R 2025-01-08  9_06 PM_Stats.xlsx,35,159.0
2,EXT3R,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/EXT3R 2025-02-06  6_25 PM_Stats.xlsx,15,158.0
2,EXT3R,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/EXT3R 2025-01-20 11_08 PM_Stats.xlsx,15,37.0
2,EXT3R,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/EXT3R 2025-02-11  5_56 PM_Stats.xlsx,15,58.0
2,EXT3R,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/EXT3R-ext 2025-01-20 10_51 AM_Stats.xlsx,35,384.0
2,EXT3R,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/0223处理/EXT3R 2025-01-21  7_19 PM_Stats.xlsx,35,40.0
2,EXT3R,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/EXT3R 2025-02-06  7_53 PM_Stats.xlsx,15,3.0
2,EXT3R,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/0223处理/EXT3R 2025-01-23 10_32 PM_Stats.xlsx,35,113.0
2,EXT3R,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/EXT3R 2025-02-11 11_32 AM_Stats.xlsx,15,160.0
2,EXT3R,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/EXT3R 2025-01-24 12_39 AM_Stats.xlsx,15,9.0
2,EXT3R,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/EXT3R 2025-01-07  9_07 PM_Stats.xlsx,35,241.0
2,EXT3R,learning,50,研究2/orginal data/50kHz USVs/1learn/EXT3R 2025-02-05 11_43 PM_Stats.xlsx,15,780.0
2,EXT3R,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/EXT3R 2025-01-09  5_11 PM_Stats.xlsx,35,255.0
2,EXT3R,renewal,50,研究2/orginal data/50kHz USVs/5renewal/EXT3R 2025-02-10  9_14 PM_Stats.xlsx,15,395.0
2,EXT3R,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/EXT3R-ret 2025-01-20 11_28 AM_Stats.xlsx,15,1.0
2,NOEXT1B,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT1B 2025-01-01  5_16 PM_Stats.xlsx,35,178.0
2,NOEXT1B,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/NO EXT1B 2025-02-17  7_41 PM_Stats.xlsx,15,1044.0
2,NOEXT1B,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/NO EXT1B 2025-02-08  4_47 PM_Stats.xlsx,15,357.0
2,NOEXT1B,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/NO EXT1B 2025-02-17  8_52 PM_Stats.xlsx,15,866.0
2,NOEXT1B,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/NO EXT1B-extc 2025-02-16 11_46 PM_Stats.xlsx,15,48.0
2,NOEXT1B,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/NO EXT1B 2025-02-20  5_20 PM_Stats.xlsx,15,64.0
2,NOEXT1B,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/0223处理/NO EXT1B 2025-02-08  4_16 PM_Stats.xlsx,35,26.0
2,NOEXT1B,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/NO EXT1B 2025-02-20 11_30 PM_Stats.xlsx,15,31.0
2,NOEXT1B,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/NO EXT1B 2025-02-21 12_40 AM_Stats.xlsx,15,51.0
2,NOEXT1B,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT1B 2024-12-31 12_23 AM_Stats.xlsx,35,300.0
2,NOEXT1B,learning,50,研究2/orginal data/50kHz USVs/1learn/NO EXT1B 2025-02-16 10_42 PM_Stats.xlsx,15,1280.0
2,NOEXT1B,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/NO EXT1Brenewal 2025-01-02  5_05 PM_Stats.xlsx,35,195.0
2,NOEXT1B,renewal,50,研究2/orginal data/50kHz USVs/5renewal/NO EXT1Brenewal 2025-02-17  8_03 PM_Stats.xlsx,15,527.0
2,NOEXT1B,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/0223处理_ret/NO EXT1B-retc 2025-02-08  2_42 PM_Stats.xlsx,35,98.0
2,NOEXT1G,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/NO EXT1G 2025-02-17  7_39 PM_Stats.xlsx,15,1.0
2,NOEXT1G,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/NO EXT1G 2025-02-08  4_49 PM_Stats.xlsx,15,4.0
2,NOEXT1G,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/NO EXT1G 2025-02-17  8_46 PM_Stats.xlsx,15,76.0
2,NOEXT1G,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/NO EXT1G-extc 2025-02-16 11_39 PM_Stats.xlsx,15,2.0
2,NOEXT1G,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/NO EXT1G 2025-02-20  5_09 PM_Stats.xlsx,15,34.0
2,NOEXT1G,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/NO EXT1G 2025-02-20 11_17 PM_Stats.xlsx,15,164.0
2,NOEXT1G,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/NO EXT1G 2025-02-21 12_25 AM_Stats.xlsx,15,389.0
2,NOEXT1G,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT1G 2024-12-31 12_18 AM_Stats.xlsx,35,77.0
2,NOEXT1G,learning,50,研究2/orginal data/50kHz USVs/1learn/NO EXT1G 2025-02-16 10_32 PM_Stats.xlsx,15,108.0
2,NOEXT1G,renewal,50,研究2/orginal data/50kHz USVs/5renewal/NO EXT1Grenewal 2025-02-17  7_58 PM_Stats.xlsx,15,62.0
2,NOEXT1G,retrieval,50,研究2/orginal data/50kHz USVs/2retrieve/NO EXT1G-retc 2025-02-16 11_13 PM_Stats.xlsx,15,5.0
2,NOEXT1R,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT1R 2025-01-01  4_50 PM_Stats.xlsx,35,14.0
2,NOEXT1R,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/NO EXT1R 2025-02-08  4_44 PM_Stats.xlsx,15,26.0
2,NOEXT1R,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/NO EXT1R 2025-02-17  8_42 PM_Stats.xlsx,15,35.0
2,NOEXT1R,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/NO EXT1R-extc 2025-02-16 11_26 PM_Stats.xlsx,15,4.0
2,NOEXT1R,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/NO EXT1R 2025-02-20 10_17 PM_Stats.xlsx,15,42.0
2,NOEXT1R,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/NO EXT1R 2025-02-21 12_17 AM_Stats.xlsx,15,18.0
2,NOEXT1R,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT1R 2024-12-30 11_36 PM_Stats.xlsx,35,219.0
2,NOEXT1R,learning,50,研究2/orginal data/50kHz USVs/1learn/NO EXT1R 2025-02-16 10_25 PM_Stats.xlsx,15,305.0
2,NOEXT2B,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT2B 2025-01-09  9_20 AM_Stats.xlsx,35,243.0
2,NOEXT2B,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/NO EXT2B 2025-02-10  7_32 PM_Stats.xlsx,15,409.0
2,NOEXT2B,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/NO EXT2B 2025-01-20 11_14 PM_Stats.xlsx,15,219.0
2,NOEXT2B,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/NO EXT2B 2025-02-11  6_30 PM_Stats.xlsx,15,281.0
2,NOEXT2B,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/0223处理_ext1/NO EXT2B-ext 2025-01-20 11_32 AM_Stats.xlsx,35,19.0
2,NOEXT2B,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/NO EXT2Bs 2025-01-21  7_38 PM_Stats.xlsx,15,1.0
2,NOEXT2B,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/NO EXT2Bs 2025-02-06  7_58 PM_Stats.xlsx,15,504.0
2,NOEXT2B,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/NO EXT2B 2025-01-24 12_12 AM_Stats.xlsx,15,1.0
2,NOEXT2B,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/NO EXT2B 2025-02-11 12_25 PM_Stats.xlsx,15,30.0
2,NOEXT2B,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/NO EXT2B 2025-01-24 12_40 AM_Stats.xlsx,15,6.0
2,NOEXT2B,extinction4,50,研究2/orginal data/50kHz USVs/8extinction4/NO EXT2B 2025-02-11  2_07 PM_Stats.xlsx,15,31.0
2,NOEXT2B,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT2B 2025-01-08 11_25 PM_Stats.xlsx,35,257.0
2,NOEXT2B,learning,50,研究2/orginal data/50kHz USVs/1learn/NO EXT2B 2025-02-08  5_28 PM_Stats.xlsx,15,359.0
2,NOEXT2B,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/NO EXT2B 2025-01-09  5_22 PM_Stats.xlsx,35,132.0
2,NOEXT2B,renewal,50,研究2/orginal data/50kHz USVs/5renewal/NO EXT2B 2025-02-10 10_00 PM_Stats.xlsx,15,253.0
2,NOEXT2B,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/NO EXT2B-ret 2025-01-20 11_37 AM_Stats.xlsx,15,1.0
2,NOEXT2G,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT2G 2025-01-08  9_41 PM_Stats.xlsx,35,126.0
2,NOEXT2G,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/NO EXT2G 2025-02-10  7_20 PM_Stats.xlsx,15,102.0
2,NOEXT2G,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/NO EXT2G 2025-01-20 11_35 PM_Stats.xlsx,15,97.0
2,NOEXT2G,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/NO EXT2G 2025-02-11  6_22 PM_Stats.xlsx,15,114.0
2,NOEXT2G,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/NO EXT2G-ext 2025-01-20 11_42 AM_Stats.xlsx,15,1.0
2,NOEXT2G,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/0223处理/NO EXT2Gs 2025-01-21  7_35 PM_Stats.xlsx,35,2.0
2,NOEXT2G,extinction2,50,研究2/orginal data/50kHz USVs/6extinction2/NO EXT2Gs 2025-02-06  8_19 PM_Stats.xlsx,15,2.0
2,NOEXT2G,extinction3,22,研究2/orginal data/22kHz USVs/7extinction3/NO EXT2G 2025-01-23 11_49 PM_Stats.xlsx,15,1.0
2,NOEXT2G,extinction3,50,研究2/orginal data/50kHz USVs/7extinction3/NO EXT2G 2025-02-11 12_15 PM_Stats.xlsx,15,9.0
2,NOEXT2G,extinction4,22,研究2/orginal data/22kHz USVs/8extinction4/NO EXT2G 2025-01-24 12_42 AM_Stats.xlsx,15,3.0
2,NOEXT2G,learning,22,研究2/orginal data/22kHz USVs/1learn/0223处理_learn/NO EXT2G 2025-01-09 12_05 AM_Stats.xlsx,35,193.0
2,NOEXT2G,learning,50,研究2/orginal data/50kHz USVs/1learn/NO EXT2G 2025-02-06 11_56 PM_Stats.xlsx,15,538.0
2,NOEXT2G,renewal,22,研究2/orginal data/22kHz USVs/5renewal/0223处理_renewal/NO EXT2G 2025-01-09  5_26 PM_Stats.xlsx,35,100.0
2,NOEXT2G,renewal,50,研究2/orginal data/50kHz USVs/5renewal/NO EXT2G 2025-02-10  9_55 PM_Stats.xlsx,15,105.0
2,NOEXT2G,retrieval,22,研究2/orginal data/22kHz USVs/2retrieve/NO EXT2G-ret 2025-01-20 11_49 AM_Stats.xlsx,15,1.0
2,NOEXT3B,LTM1,22,研究2/orginal data/22kHz USVs/4LTM/0223处理/NO EXT3B 2025-01-09  9_36 AM_Stats.xlsx,35,42.0
2,NOEXT3B,LTM1,50,研究2/orginal data/50kHz USVs/4LTM/NO EXT3B 2025-02-10  8_31 PM_Stats.xlsx,15,44.0
2,NOEXT3B,LTM2,22,研究2/orginal data/22kHz USVs/9LTM2/NO EXT3B 2025-01-20 11_46 PM_Stats.xlsx,15,4.0
2,NOEXT3B,LTM2,50,研究2/orginal data/50kHz USVs/9LTM2/NO EXT3B 2025-02-11  6_39 PM_Stats.xlsx,15,51.0
2,NOEXT3B,extinction1,22,研究2/orginal data/22kHz USVs/3extinction1/NO EXT3B-ext 2025-01-20 11_55 AM_Stats.xlsx,15,1.0
2,NOEXT3B,extinction1,50,研究2/orginal data/50kHz USVs/3extinction1/NO EXT3B-ext 2025-02-10 12_17 AM_Stats.xlsx,15,41.0
2,NOEXT3B,extinction2,22,研究2/orginal data/22kHz USVs/6extinction2/NO EXT3B 2025-01-21  7_47 PM_Stats.xlsx,15,0.0
