study,subject_id,session_name,time_min,time_max,usv_recorded,lever_recorded,freezing_recorded,boli_recorded,group_guess,context_guess
2,NOEXT3G,lever_training,0.0,2405.0,False,True,False,False,no_extinction,B_or_operant
2,NOEXT3G,renewal,0.0,735.0,True,True,True,True,no_extinction,A
2,NOEXT3G,retrieval,0.0,375.0,True,True,True,True,no_extinction,B_or_operant
2,NOEXT3R,LTM1,0.0,715.0,True,False,True,True,no_extinction,B_or_operant
2,NOEXT3R,LTM2,0.0,740.0,True,True,True,True,no_extinction,B_or_operant
2,NOEXT3R,extinction1,0.0,3445.0,True,True,True,True,no_extinction,B_or_operant
2,NOEXT3R,extinction2,0.0,1995.0,True,True,True,True,no_extinction,B_or_operant
2,NOEXT3R,extinction3,0.0,2010.0,True,True,True,True,no_extinction,B_or_operant
2,NOEXT3R,extinction4,0.0,2010.0,True,True,True,True,no_extinction,B_or_operant
2,NOEXT3R,learning,0.0,1140.0,True,True,True,True,no_extinction,A
2,NOEXT3R,lever_training,0.0,2400.0,False,True,False,False,no_extinction,B_or_operant
2,NOEXT3R,renewal,0.0,735.0,True,True,True,True,no_extinction,A
2,NOEXT3R,retrieval,0.0,370.0,True,True,True,True,no_extinction,B_or_operant
